wscode;weatherdate;tmin;tmax;tmoy;rhmin;rhmax;rhmoy;rainfall;windtot;radiation;sunshine;eto
IRRIw;1/1/1985;21.60;27.60;24.60;-999.00;-999.00;84.16;0.10;1.10;11.87;-999.00;-999.00
IRRIw;2/1/1985;20.10;27.70;23.90;-999.00;-999.00;80.19;0.00;0.80;12.77;-999.00;-999.00
IRRIw;3/1/1985;21.20;28.20;24.70;-999.00;-999.00;83.49;0.50;0.60;10.97;-999.00;-999.00
IRRIw;4/1/1985;19.90;27.60;23.75;-999.00;-999.00;82.53;0.00;0.80;14.39;-999.00;-999.00
IRRIw;5/1/1985;21.20;26.90;24.05;-999.00;-999.00;83.63;0.40;1.00;10.43;-999.00;-999.00
IRRIw;6/1/1985;21.00;26.20;23.60;-999.00;-999.00;84.48;3.00;0.90;9.71;-999.00;-999.00
IRRIw;7/1/1985;18.50;27.20;22.85;-999.00;-999.00;82.34;0.00;1.40;14.75;-999.00;-999.00
IRRIw;8/1/1985;18.20;27.50;22.85;-999.00;-999.00;78.78;0.00;1.40;18.71;-999.00;-999.00
IRRIw;9/1/1985;17.60;26.30;21.95;-999.00;-999.00;80.18;0.00;1.40;16.91;-999.00;-999.00
IRRIw;10/1/1985;17.90;28.40;23.15;-999.00;-999.00;78.19;0.00;0.80;19.43;-999.00;-999.00
IRRIw;11/1/1985;17.00;29.30;23.15;-999.00;-999.00;75.75;0.00;0.90;18.35;-999.00;-999.00
IRRIw;12/1/1985;18.80;28.40;23.60;-999.00;-999.00;78.70;0.00;1.30;17.63;-999.00;-999.00
IRRIw;13/1/1985;19.50;28.10;23.80;-999.00;-999.00;77.90;0.00;1.40;17.27;-999.00;-999.00
IRRIw;14/1/1985;18.00;27.10;22.55;-999.00;-999.00;78.22;0.10;2.20;11.51;-999.00;-999.00
IRRIw;15/1/1985;20.80;26.70;23.75;-999.00;-999.00;83.32;0.70;1.70;10.43;-999.00;-999.00
IRRIw;16/1/1985;20.10;26.50;23.30;-999.00;-999.00;81.27;0.00;1.90;8.99;-999.00;-999.00
IRRIw;17/1/1985;22.00;26.00;24.00;-999.00;-999.00;85.34;0.00;1.40;5.22;-999.00;-999.00
IRRIw;18/1/1985;22.40;29.50;25.95;-999.00;-999.00;80.18;0.00;1.00;11.87;-999.00;-999.00
IRRIw;19/1/1985;23.40;27.60;25.50;-999.00;-999.00;84.43;0.00;2.50;7.19;-999.00;-999.00
IRRIw;20/1/1985;22.70;28.00;25.35;-999.00;-999.00;81.77;0.00;2.10;13.31;-999.00;-999.00
IRRIw;21/1/1985;21.00;28.20;24.60;-999.00;-999.00;78.39;0.00;2.30;13.13;-999.00;-999.00
IRRIw;22/1/1985;21.00;27.70;24.35;-999.00;-999.00;80.19;0.10;1.60;11.87;-999.00;-999.00
IRRIw;23/1/1985;22.90;27.90;25.40;-999.00;-999.00;83.42;0.00;1.50;8.45;-999.00;-999.00
IRRIw;24/1/1985;22.30;29.20;25.75;-999.00;-999.00;80.96;0.00;2.10;16.73;-999.00;-999.00
IRRIw;25/1/1985;21.70;28.20;24.95;-999.00;-999.00;80.09;1.00;2.10;17.09;-999.00;-999.00
IRRIw;26/1/1985;21.00;28.80;24.90;-999.00;-999.00;82.33;4.20;1.70;12.77;-999.00;-999.00
IRRIw;27/1/1985;22.00;28.90;25.45;-999.00;-999.00;83.02;0.20;1.20;11.87;-999.00;-999.00
IRRIw;28/1/1985;22.80;28.40;25.60;-999.00;-999.00;84.52;0.00;1.80;11.87;-999.00;-999.00
IRRIw;29/1/1985;21.50;29.10;25.30;-999.00;-999.00;82.01;0.00;2.10;13.13;-999.00;-999.00
IRRIw;30/1/1985;22.40;28.10;25.25;-999.00;-999.00;84.35;2.00;2.10;12.95;-999.00;-999.00
IRRIw;31/1/1985;22.00;28.00;25.00;-999.00;-999.00;84.28;0.70;2.00;13.49;-999.00;-999.00
IRRIw;1/2/1985;22.30;29.00;25.65;-999.00;-999.00;83.20;0.00;1.50;12.23;-999.00;-999.00
IRRIw;2/2/1985;21.90;30.50;26.20;-999.00;-999.00;79.15;3.30;1.90;16.19;-999.00;-999.00
IRRIw;3/2/1985;22.50;29.50;26.00;-999.00;-999.00;81.63;0.00;1.90;17.81;-999.00;-999.00
IRRIw;4/2/1985;22.60;30.60;26.60;-999.00;-999.00;81.15;0.60;1.90;18.35;-999.00;-999.00
IRRIw;5/2/1985;22.20;31.40;26.80;-999.00;-999.00;79.52;0.00;1.50;16.37;-999.00;-999.00
IRRIw;6/2/1985;22.10;32.70;27.40;-999.00;-999.00;77.09;0.00;1.10;18.53;-999.00;-999.00
