17
"countrycode	PH"
"cropcode	Rice"
"endingdate	2015-11-30"
"fieldcode	Ndiaye_V2_1"
"itkcode	IRRI-YP12DS-D1"
"name	Ndiaye_V2_1"
"namesoil	"
"simcode	IRYP12DSD1V1"
"soilcode	IRRInPRRI"
"sowing	2015-01-08"
"startingdate	2015-01-01"
"variety	YPV01"
"wscode	IRRIw"
"wsname	LosBanos"
"wstype	Synoptique"
endingdate	2015-12-03
startingdate	2014-12-28
132
asscstr	0.500000
attenmitch	0.995500
bundheight	160.000000
ca	400.000000
co2cp	50.000000
co2exp	0.004000
co2slopetr	0.000000
coeffassimsla	0.200000
coefffixedtillerdeath	0.019000
coefficientq10	1.500000
coeffinternodemass	0.000700
coeffinternodenum	2.000000
coeffleafdeath	0.020000
coeffleafwlratio	0.022900
coefflodging	1.000000
coeffpaniclemass	0.006300
coeffpansinkpop	11.000000
coeffrescapacityinternode	0.400000
coeffreservesink	0.060000
coeffrootmasspervolmax	0.120000
coeffterminalleafdeath	0.000000
coefftillerdeath	0.050000
coefftransplantingshock	1.000000
densityfield	250000.000000
densitynursery	40000000.000000
depthsoil	0.000000
devcstr	0.200000
durationnursery	14.000000
endingdate	2457360.000000
epaisseurprof	150.000000
epaisseursurf	100.000000
excessassimtoroot	0.000000
ftswirrig	1.000000
hauncrittillering	3.000000
humcr	0.150000
humfc	0.200000
humpf	0.050000
humsat	0.220000
ictillering	0.500000
internodelengthmax	160.000000
irrigauto	1.000000
irrigautoresume	0.000000
irrigautostop	0.000000
irrigautotarget	0.300000
kcmax	1.400000
kcritstercold1	18.000000
kcritstercold2	15.000000
kcritsterftsw1	0.600000
kcritsterftsw2	0.200000
kcritsterheat1	38.000000
kcritsterheat2	44.000000
kcritstresscold1	19.000000
kcritstresscold2	9.000000
kdf	0.500000
kpar	0.500000
krespinternode	0.010000
krespmaintleaf	0.040000
krespmaintroot	0.020000
krespmaintsheath	0.020000
kresppanicle	0.040000
ktempmaint	25.000000
leaflengthmax	456.000000
lifesavingdrainage	1.000000
mulch	100.000000
panstructmassmax	0.300000
parcritsla	6.000000
percolationmax	3.000000
pevap	0.200000
pfactor	0.200000
phyllo	70.000000
plantsperhill	2.000000
plotdrainagedaf	20.000000
poidssecgrain	0.020700
pourcruiss	30.000000
ppcrit	11.000000
ppexp	0.170000
ppsens	2.000000
prioritypan	0.500000
profracini	40.000000
ranklongestleaf	12.000000
relmobiliinternodemax	0.200000
relphyllophasestemelong	0.600000
rollingbase	0.300000
rollingsens	0.100000
rootcstr	0.000000
rootfrontmax	400.000000
rootlignin	0.000000
rootpartitmax	0.600000
ru	150.000000
sdjbvp	710.000000
sdjlevee	30.000000
sdjmatu1	310.000000
sdjmatu2	100.000000
sdjrpr	380.000000
seuilcstrmortality	0.050000
seuilpp	13.600000
seuilruiss	20.000000
slamax	0.006000
slamin	0.002000
slaswitch	1.000000
sowing	2457030.000000
startingdate	2457020.000000
stemporosity	0.670000
stockiniprof	10.000000
stockinisurf	10.000000
tbase	10.000000
tempsla	1.000000
tilability	0.400000
tlim	44.000000
topt1	24.000000
topt2	36.000000
transplanting	1.000000
transplantingdepth	100.000000
txassimbvp	1.000000
txassimmatu1	1.000000
txassimmatu2	0.300000
txconversion	5.600000
txrealloc	0.500000
txresgrain	0.500000
txrusurfgermi	0.600000
volrelmacropores	10.000000
vracbvp	12.000000
vraclevee	12.000000
vracmatu1	0.000000
vracmatu2	0.000000
vracpsp	5.000000
vracrpr	5.000000
waterloggingsens	0.000000
wsalt	21.000000
wslat	14.180000
wslong	121.250000
wtratioleafsheath	1.500000
