wscode;weatherdate;tmin;tmax;tmoy;rhmin;rhmax;rhmoy;rainfall;windtot;radiation;sunshine;eto
111111;1/1/2010;17.20;31.50;23.60;39.00;95.00;71.00;0.00;0.81;21.00;;
111111;2/1/2010;17.30;31.60;23.40;41.00;94.00;72.00;0.00;0.97;21.80;;
111111;3/1/2010;17.70;31.60;23.30;35.00;94.00;72.00;0.00;0.88;21.00;;
111111;4/1/2010;17.60;31.00;23.40;37.00;91.00;70.00;0.00;1.04;20.20;;
111111;5/1/2010;18.70;31.40;23.30;34.00;91.00;67.00;0.00;0.67;19.20;;
111111;6/1/2010;17.00;31.10;22.80;38.00;93.00;72.00;0.00;0.88;18.20;;
111111;7/1/2010;17.60;31.50;23.70;42.00;95.00;72.00;0.00;1.17;18.30;;
111111;8/1/2010;19.30;31.20;24.00;49.00;98.00;79.00;0.50;0.76;13.70;;
111111;9/1/2010;17.40;30.80;23.90;48.00;99.00;76.00;0.10;0.91;15.50;;
111111;10/1/2010;20.60;29.70;24.20;53.00;97.00;76.00;0.40;0.81;13.80;;
111111;11/1/2010;20.00;31.10;24.00;39.00;100.00;79.00;0.00;0.56;17.20;;
111111;12/1/2010;20.10;31.10;24.00;45.00;93.00;73.00;0.00;0.58;14.90;;
111111;13/1/2010;18.60;31.80;24.10;38.00;95.00;72.00;0.00;0.63;20.30;;
111111;14/1/2010;18.50;31.20;23.60;43.00;92.00;72.00;0.00;1.10;16.90;;
111111;15/1/2010;17.70;31.20;23.90;43.00;92.00;72.00;0.00;1.00;16.40;;
111111;16/1/2010;18.40;31.20;24.00;45.00;97.00;75.00;0.00;0.53;16.90;;
111111;17/1/2010;19.30;31.80;24.50;46.00;95.00;76.00;0.00;0.81;16.50;;
111111;18/1/2010;19.30;32.40;24.80;41.00;93.00;73.00;0.00;0.53;16.70;;
111111;19/1/2010;20.00;31.30;24.50;48.00;92.00;74.00;0.00;0.73;13.10;;
111111;20/1/2010;19.90;32.90;24.70;40.00;96.00;74.00;0.00;0.58;16.90;;
111111;21/1/2010;19.20;32.40;24.60;35.00;89.00;69.00;0.00;0.91;19.00;;
111111;22/1/2010;19.10;29.00;23.60;57.00;95.00;76.00;0.00;0.67;13.10;;
111111;23/1/2010;19.00;31.60;23.30;42.00;97.00;79.00;2.00;0.82;15.50;;
111111;24/1/2010;17.80;32.40;22.40;40.00;98.00;83.00;9.20;0.82;18.20;;
111111;25/1/2010;19.70;28.20;22.70;58.00;99.00;85.00;1.80;0.84;11.30;;
111111;26/1/2010;19.30;29.10;22.80;54.00;100.00;85.00;0.30;1.00;11.60;;
111111;27/1/2010;19.30;30.50;23.40;51.00;99.00;83.00;0.00;1.09;15.10;;
111111;28/1/2010;18.50;26.70;21.60;68.00;99.00;89.00;0.00;0.91;7.20;;
111111;29/1/2010;17.80;29.70;22.70;51.00;98.00;80.00;0.10;0.83;14.30;;
111111;30/1/2010;18.60;31.40;24.20;44.00;98.00;76.00;0.00;0.57;18.50;;
111111;31/1/2010;18.40;32.60;24.40;38.00;96.00;75.00;0.00;0.74;21.10;;
111111;1/2/2010;19.10;32.90;24.70;40.00;96.00;74.00;0.00;0.81;20.80;;
111111;2/2/2010;19.70;33.60;25.30;37.00;94.00;73.00;0.00;0.95;21.80;;
111111;3/2/2010;21.60;34.70;26.60;40.00;92.00;71.00;0.00;0.89;20.50;;
111111;4/2/2010;20.10;33.90;25.70;39.00;92.00;71.00;0.00;0.61;18.40;;
111111;5/2/2010;21.40;33.00;25.70;44.00;95.00;73.00;0.20;0.72;14.70;;
111111;6/2/2010;20.00;23.60;20.90;85.00;100.00;98.00;13.40;0.93;2.70;;
111111;7/2/2010;19.20;30.50;23.00;48.00;100.00;84.00;0.00;1.09;16.30;;
111111;8/2/2010;19.40;31.40;24.20;45.00;96.00;75.00;0.00;1.11;20.20;;
111111;9/2/2010;19.80;25.20;21.90;77.00;100.00;92.00;3.60;1.02;7.20;;
111111;10/2/2010;17.80;31.70;23.20;44.00;100.00;82.00;0.00;1.18;15.90;;
111111;11/2/2010;19.70;32.30;24.80;45.00;99.00;77.00;0.00;0.58;17.90;;
111111;12/2/2010;19.90;31.70;24.70;48.00;96.00;75.00;0.40;0.87;20.20;;
111111;13/2/2010;19.30;32.60;24.70;42.00;99.00;75.00;0.00;1.13;20.90;;
111111;14/2/2010;20.40;29.80;24.30;51.00;93.00;76.00;0.00;0.84;12.60;;
111111;15/2/2010;19.30;32.80;24.80;40.00;93.00;72.00;0.00;1.04;19.20;;
111111;16/2/2010;20.70;30.20;24.30;52.00;95.00;78.00;0.00;0.78;11.00;;
111111;17/2/2010;19.20;32.40;25.00;41.00;96.00;73.00;0.00;1.03;20.80;;
111111;18/2/2010;20.10;32.90;25.20;42.00;84.00;69.00;0.00;1.13;16.20;;
111111;19/2/2010;22.30;29.50;25.50;51.00;88.00;72.00;0.00;0.72;9.00;;
111111;20/2/2010;21.20;31.10;25.30;52.00;96.00;76.00;0.00;0.83;11.20;;
111111;21/2/2010;21.20;32.00;25.60;49.00;93.00;74.00;0.00;1.04;16.40;;
111111;22/2/2010;20.40;33.50;25.50;40.00;96.00;73.00;1.50;1.26;19.60;;
111111;23/2/2010;19.50;25.00;22.10;71.00;98.00;88.00;7.70;1.18;6.80;;
111111;24/2/2010;17.50;29.60;23.20;51.00;99.00;78.00;0.00;1.02;20.20;;
111111;25/2/2010;20.10;29.40;23.50;51.00;96.00;77.00;0.30;1.11;13.00;;
111111;26/2/2010;19.60;27.70;22.70;55.00;96.00;82.00;0.30;0.96;8.70;;
111111;27/2/2010;18.00;31.30;24.10;48.00;95.00;72.00;0.00;0.84;16.90;;
111111;28/2/2010;20.50;32.80;25.30;37.00;91.00;70.00;0.00;1.00;19.80;;
111111;1/3/2010;20.10;33.30;25.50;39.00;97.00;72.00;0.00;0.59;19.70;;
111111;2/3/2010;20.80;29.80;24.20;54.00;93.00;77.00;0.00;1.04;9.80;;
111111;3/3/2010;19.80;30.00;23.20;53.00;96.00;82.00;2.10;0.72;12.90;;
