wscode;weatherdate;tmin;tmax;tmoy;rhmin;rhmax;rhmoy;rainfall;windtot;radiation;sunshine;eto
Andra;1/9/2007;9.50;25.20;17.35;26.50;98.50;62.50;0.00;1.84;18.14;-999.00;-999.00
Andra;2/9/2007;9.60;23.00;16.30;27.50;97.00;62.25;0.00;2.29;15.99;-999.00;-999.00
Andra;3/9/2007;9.00;20.20;14.60;38.50;94.00;66.25;0.00;2.47;20.87;-999.00;-999.00
Andra;4/9/2007;5.00;22.40;13.70;31.50;100.00;65.75;0.00;2.87;21.85;-999.00;-999.00
Andra;5/9/2007;6.20;23.80;15.00;28.50;98.00;63.25;0.00;2.75;19.66;-999.00;-999.00
Andra;6/9/2007;6.90;27.70;17.30;8.00;100.00;54.00;0.50;2.11;21.08;-999.00;-999.00
Andra;7/9/2007;6.80;28.40;17.60;7.00;96.50;51.75;0.00;1.83;22.00;-999.00;-999.00
Andra;8/9/2007;6.50;26.90;16.70;12.00;100.00;56.00;0.00;2.27;21.75;-999.00;-999.00
Andra;9/9/2007;9.10;24.90;17.00;25.50;91.50;58.50;0.00;1.97;20.93;-999.00;-999.00
Andra;10/9/2007;9.30;23.70;16.50;20.50;94.50;57.50;0.00;1.96;22.06;-999.00;-999.00
Andra;11/9/2007;4.90;21.30;13.10;33.00;97.50;65.25;0.00;1.71;14.44;-999.00;-999.00
Andra;12/9/2007;5.80;20.30;13.05;35.00;95.50;65.25;0.00;2.48;17.08;-999.00;-999.00
Andra;13/9/2007;3.10;19.80;11.45;33.50;99.50;66.50;0.00;2.72;17.80;-999.00;-999.00
Andra;14/9/2007;8.80;23.10;15.95;40.50;93.50;67.00;0.00;3.07;19.74;-999.00;-999.00
Andra;15/9/2007;10.50;24.40;17.45;40.00;93.50;66.75;0.00;2.97;15.15;-999.00;-999.00
Andra;16/9/2007;10.90;24.40;17.65;31.00;94.50;62.75;0.50;2.30;15.39;-999.00;-999.00
Andra;17/9/2007;9.90;27.60;18.75;22.00;99.00;60.50;0.00;2.01;19.81;-999.00;-999.00
Andra;18/9/2007;12.70;22.90;17.80;45.50;93.50;69.50;0.00;2.25;15.24;-999.00;-999.00
Andra;19/9/2007;11.30;23.00;17.15;47.50;95.50;71.50;0.00;2.30;10.91;-999.00;-999.00
Andra;20/9/2007;12.80;23.40;18.10;39.50;90.50;65.00;0.00;2.71;16.11;-999.00;-999.00
Andra;21/9/2007;10.60;26.60;18.60;17.00;94.50;55.75;0.00;2.86;22.70;-999.00;-999.00
Andra;22/9/2007;9.80;27.30;18.55;12.00;96.50;54.25;0.00;2.56;23.52;-999.00;-999.00
Andra;23/9/2007;6.70;29.20;17.95;14.50;97.50;56.00;0.00;1.85;23.33;-999.00;-999.00
Andra;24/9/2007;8.80;30.70;19.75;9.00;94.00;51.50;0.00;2.04;21.91;-999.00;-999.00
Andra;25/9/2007;10.70;28.90;19.80;11.00;91.00;51.00;0.00;1.97;17.63;-999.00;-999.00
Andra;26/9/2007;13.50;24.70;19.10;37.00;88.50;62.75;0.00;2.11;14.77;-999.00;-999.00
Andra;27/9/2007;10.90;19.60;15.25;49.50;83.00;66.25;0.00;2.64;10.02;-999.00;-999.00
Andra;28/9/2007;8.30;19.00;13.65;40.50;91.50;66.00;0.00;3.48;18.27;-999.00;-999.00
Andra;29/9/2007;5.90;18.90;12.40;37.00;91.00;64.00;0.00;3.36;20.08;-999.00;-999.00
Andra;30/9/2007;6.40;20.30;13.35;31.50;94.00;62.75;0.00;2.99;21.16;-999.00;-999.00
