wscode;weatherdate;tmin;tmax;tmoy;rhmin;rhmax;rhmoy;rainfall;windtot;radiation;sunshine;eto
CITRA;1/1/2009;8.90;18.42;13.66;-999.00;-999.00;59.00;0.00;2.14;6.87;-999.00;-999.00
CITRA;2/1/2009;10.43;24.32;17.37;-999.00;-999.00;75.00;0.00;1.04;8.97;-999.00;-999.00
CITRA;3/1/2009;10.31;25.09;17.70;-999.00;-999.00;82.00;0.00;0.72;8.30;-999.00;-999.00
CITRA;4/1/2009;13.03;27.18;20.10;-999.00;-999.00;77.00;0.00;0.72;11.52;-999.00;-999.00
CITRA;5/1/2009;10.97;27.48;19.22;-999.00;-999.00;77.00;0.00;0.89;12.15;-999.00;-999.00
CITRA;6/1/2009;17.49;28.34;22.91;-999.00;-999.00;80.00;0.25;1.73;10.01;-999.00;-999.00
CITRA;7/1/2009;9.43;23.80;16.61;-999.00;-999.00;72.00;3.30;2.77;5.74;-999.00;-999.00
CITRA;8/1/2009;4.02;22.34;13.18;-999.00;-999.00;69.00;0.00;2.51;13.53;-999.00;-999.00
CITRA;9/1/2009;6.32;21.18;13.75;-999.00;-999.00;59.00;0.00;1.12;14.34;-999.00;-999.00
CITRA;10/1/2009;2.91;25.85;14.38;-999.00;-999.00;70.00;0.00;0.94;13.89;-999.00;-999.00
CITRA;11/1/2009;11.86;23.55;17.70;-999.00;-999.00;87.00;1.77;2.42;4.79;-999.00;-999.00
CITRA;12/1/2009;10.47;16.87;13.67;-999.00;-999.00;78.00;22.60;2.14;3.09;-999.00;-999.00
CITRA;13/1/2009;5.11;13.02;9.06;-999.00;-999.00;91.00;10.16;1.56;1.53;-999.00;-999.00
CITRA;14/1/2009;3.02;16.73;9.87;-999.00;-999.00;71.00;0.00;1.22;14.43;-999.00;-999.00
CITRA;15/1/2009;-0.14;14.84;7.35;-999.00;-999.00;67.00;0.00;0.89;8.37;-999.00;-999.00
CITRA;16/1/2009;3.14;10.94;7.04;-999.00;-999.00;47.00;0.00;2.95;13.75;-999.00;-999.00
CITRA;17/1/2009;-0.66;15.33;7.33;-999.00;-999.00;64.00;0.00;1.48;14.73;-999.00;-999.00
