wscode;weatherdate;tmin;tmax;tmoy;rhmin;rhmax;rhmoy;rainfall;windtot;radiation;sunshine;eto
COLIM;2/6/1994;14.50;21.40;17.95;-999.00;-999.00;-999.00;0.00;-999.00;13.49;-999.00;2.30
COLIM;3/6/1994;13.80;20.10;16.95;-999.00;-999.00;-999.00;0.00;-999.00;9.22;-999.00;1.80
COLIM;4/6/1994;12.90;20.30;16.60;-999.00;-999.00;-999.00;0.00;-999.00;11.95;-999.00;2.10
COLIM;5/6/1994;14.30;21.50;17.90;-999.00;-999.00;-999.00;0.00;-999.00;12.82;-999.00;2.00
COLIM;6/6/1994;14.60;20.30;17.45;-999.00;-999.00;-999.00;0.00;-999.00;10.20;-999.00;1.80
COLIM;7/6/1994;14.70;20.70;17.70;-999.00;-999.00;-999.00;0.00;-999.00;9.71;-999.00;1.80
COLIM;8/6/1994;14.80;21.20;18.00;-999.00;-999.00;-999.00;0.00;-999.00;14.04;-999.00;2.20
COLIM;9/6/1994;14.10;21.90;18.00;-999.00;-999.00;-999.00;0.00;-999.00;12.38;-999.00;2.20
COLIM;10/6/1994;14.50;22.60;18.55;-999.00;-999.00;-999.00;22.00;-999.00;16.44;-999.00;2.50
COLIM;11/6/1994;14.30;19.20;16.75;-999.00;-999.00;-999.00;0.00;-999.00;13.78;-999.00;2.20
COLIM;12/6/1994;12.30;20.30;16.30;-999.00;-999.00;-999.00;0.00;-999.00;14.54;-999.00;2.30
COLIM;13/6/1994;13.10;19.90;16.50;-999.00;-999.00;-999.00;0.00;-999.00;11.07;-999.00;1.80
COLIM;14/6/1994;13.10;20.00;16.55;-999.00;-999.00;-999.00;0.00;-999.00;10.98;-999.00;1.90
COLIM;15/6/1994;11.90;20.00;15.95;-999.00;-999.00;-999.00;0.00;-999.00;14.04;-999.00;2.20
COLIM;16/6/1994;12.20;19.00;15.60;-999.00;-999.00;-999.00;0.00;-999.00;9.68;-999.00;1.70
COLIM;17/6/1994;12.50;19.60;16.05;-999.00;-999.00;-999.00;0.00;-999.00;13.28;-999.00;2.00
COLIM;18/6/1994;12.60;19.50;16.05;-999.00;-999.00;-999.00;0.00;-999.00;12.14;-999.00;1.90
COLIM;19/6/1994;14.00;20.60;17.30;-999.00;-999.00;-999.00;0.00;-999.00;12.07;-999.00;1.90
COLIM;20/6/1994;14.70;21.30;18.00;-999.00;-999.00;-999.00;0.00;-999.00;12.37;-999.00;1.90
COLIM;21/6/1994;14.40;21.40;17.90;-999.00;-999.00;-999.00;0.00;-999.00;13.07;-999.00;2.10
COLIM;22/6/1994;14.20;20.70;17.45;-999.00;-999.00;-999.00;0.00;-999.00;13.36;-999.00;2.10
COLIM;23/6/1994;13.10;20.70;16.90;-999.00;-999.00;-999.00;0.00;-999.00;13.85;-999.00;2.20
COLIM;24/6/1994;12.50;21.30;16.90;-999.00;-999.00;-999.00;0.00;-999.00;16.88;-999.00;2.40
COLIM;25/6/1994;14.40;21.50;17.95;-999.00;-999.00;-999.00;0.00;-999.00;10.88;-999.00;1.90
COLIM;26/6/1994;13.80;20.80;17.30;-999.00;-999.00;-999.00;0.00;-999.00;12.93;-999.00;2.10
COLIM;27/6/1994;14.10;21.50;17.80;-999.00;-999.00;-999.00;0.00;-999.00;11.74;-999.00;2.00
COLIM;28/6/1994;14.00;20.50;17.25;-999.00;-999.00;-999.00;0.00;-999.00;13.61;-999.00;2.10
COLIM;29/6/1994;14.80;21.70;18.25;-999.00;-999.00;-999.00;0.00;-999.00;14.45;-999.00;2.10
COLIM;30/6/1994;14.70;20.00;17.35;-999.00;-999.00;-999.00;0.00;-999.00;9.28;-999.00;1.70
COLIM;1/7/1994;13.70;21.20;17.45;-999.00;-999.00;-999.00;0.00;-999.00;12.19;-999.00;2.10
