wscode;weatherdate;tmin;tmax;tmoy;rhmin;rhmax;rhmoy;rainfall;windtot;radiation;sunshine;eto
ESALQ;1/1/2003;17.20;25.60;21.40;60.00;98.00;79.00;4.50;2.91;12.08;-999.00;-999.00
ESALQ;2/1/2003;19.90;23.90;21.90;78.00;99.00;88.50;20.60;1.45;15.59;-999.00;-999.00
ESALQ;3/1/2003;18.40;25.50;21.95;65.00;99.00;82.00;4.30;1.60;19.58;-999.00;-999.00
ESALQ;4/1/2003;19.40;27.20;23.30;62.00;98.00;80.00;1.20;1.45;17.02;-999.00;-999.00
ESALQ;5/1/2003;19.10;28.60;23.85;56.00;98.50;77.25;1.60;1.60;13.68;-999.00;-999.00
ESALQ;6/1/2003;19.20;26.00;22.60;66.00;98.00;82.00;13.20;2.62;16.87;-999.00;-999.00
ESALQ;7/1/2003;19.20;26.80;23.00;63.00;98.50;80.75;4.60;2.47;23.25;-999.00;-999.00
ESALQ;8/1/2003;18.40;29.40;23.90;52.00;99.50;75.75;0.60;1.45;26.77;-999.00;-999.00
ESALQ;9/1/2003;19.20;30.10;24.65;52.00;99.00;75.50;4.00;2.18;17.66;-999.00;-999.00
ESALQ;10/1/2003;18.80;28.20;23.50;57.00;99.00;78.00;49.80;1.45;18.62;-999.00;-999.00
ESALQ;11/1/2003;19.00;28.20;23.60;57.00;97.50;77.25;12.70;1.74;11.43;-999.00;-999.00
ESALQ;12/1/2003;19.30;23.40;21.35;78.00;98.50;88.25;3.30;2.04;12.22;-999.00;-999.00
ESALQ;13/1/2003;19.00;26.00;22.50;65.00;98.00;81.50;4.20;2.04;14.30;-999.00;-999.00
ESALQ;14/1/2003;18.60;27.00;22.80;60.00;97.50;78.75;1.00;1.74;12.70;-999.00;-999.00
ESALQ;15/1/2003;20.00;25.60;22.80;71.00;99.00;85.00;3.60;1.16;11.25;-999.00;-999.00
ESALQ;16/1/2003;19.40;26.70;23.05;64.00;98.50;81.25;7.70;1.02;15.09;-999.00;-999.00
ESALQ;17/1/2003;19.00;29.20;24.10;54.00;98.00;76.00;0.00;0.73;15.88;-999.00;-999.00
ESALQ;18/1/2003;20.00;28.60;24.30;60.00;98.00;79.00;2.50;1.60;11.40;-999.00;-999.00
ESALQ;19/1/2003;19.30;26.90;23.10;63.00;97.00;80.00;15.30;2.47;14.27;-999.00;-999.00
ESALQ;20/1/2003;19.10;26.90;23.00;62.00;97.00;79.50;22.70;1.89;22.91;-999.00;-999.00
ESALQ;21/1/2003;16.80;28.40;22.60;49.00;100.00;74.50;0.50;2.18;25.15;-999.00;-999.00
ESALQ;22/1/2003;18.20;29.80;24.00;50.00;100.00;75.00;10.60;1.60;23.06;-999.00;-999.00
ESALQ;23/1/2003;20.20;30.00;25.10;56.00;98.50;77.25;0.00;1.74;13.13;-999.00;-999.00
ESALQ;24/1/2003;20.20;27.20;23.70;66.00;98.50;82.25;0.50;1.02;23.53;-999.00;-999.00
ESALQ;25/1/2003;20.00;29.40;24.70;57.00;98.00;77.50;28.40;2.18;13.28;-999.00;-999.00
ESALQ;26/1/2003;19.90;26.40;23.15;68.00;98.00;83.00;27.30;1.89;14.55;-999.00;-999.00
ESALQ;27/1/2003;19.80;27.40;23.60;63.00;100.00;81.50;3.00;1.60;16.46;-999.00;-999.00
ESALQ;28/1/2003;18.30;27.20;22.75;58.00;99.50;78.75;6.40;1.60;11.17;-999.00;-999.00
ESALQ;29/1/2003;20.00;27.20;23.60;65.00;99.50;82.25;3.70;1.45;16.13;-999.00;-999.00
ESALQ;30/1/2003;20.00;26.80;23.40;66.00;99.00;82.50;19.10;2.33;11.31;-999.00;-999.00
ESALQ;31/1/2003;20.00;24.90;22.45;74.00;98.50;86.25;15.40;2.04;11.14;-999.00;-999.00
ESALQ;1/2/2003;19.30;24.40;21.85;73.00;99.50;86.25;3.00;2.04;11.61;-999.00;-999.00
ESALQ;2/2/2003;19.10;24.40;21.75;72.00;99.50;85.75;2.80;3.20;13.36;-999.00;-999.00
ESALQ;3/2/2003;19.60;25.60;22.60;69.00;98.50;83.75;0.10;3.20;19.27;-999.00;-999.00
ESALQ;4/2/2003;18.50;28.50;23.50;55.00;99.50;77.25;0.00;0.87;20.06;-999.00;-999.00
ESALQ;5/2/2003;20.20;30.70;25.45;54.00;96.50;75.25;0.20;1.31;14.13;-999.00;-999.00
ESALQ;6/2/2003;20.20;29.30;24.75;58.00;98.00;78.00;10.50;1.02;12.35;-999.00;-999.00
ESALQ;7/2/2003;19.20;27.40;23.30;61.00;97.50;79.25;10.80;1.02;12.02;-999.00;-999.00
ESALQ;8/2/2003;18.60;26.40;22.50;62.00;98.50;80.25;15.90;1.16;11.37;-999.00;-999.00
ESALQ;9/2/2003;19.20;26.60;22.90;64.00;99.00;81.50;22.90;1.89;13.27;-999.00;-999.00
ESALQ;10/2/2003;19.00;24.60;21.80;71.00;98.50;84.75;54.70;2.18;11.98;-999.00;-999.00
ESALQ;11/2/2003;18.60;23.80;21.20;73.00;99.00;86.00;33.70;2.76;16.91;-999.00;-999.00
ESALQ;12/2/2003;19.60;27.00;23.30;64.00;97.50;80.75;0.60;2.47;21.85;-999.00;-999.00
ESALQ;13/2/2003;20.00;29.40;24.70;57.00;99.00;78.00;0.00;1.45;17.35;-999.00;-999.00
ESALQ;14/2/2003;19.20;29.20;24.20;55.00;99.50;77.25;17.60;1.31;28.81;-999.00;-999.00
ESALQ;15/2/2003;18.90;30.60;24.75;50.00;99.50;74.75;0.00;1.16;29.59;-999.00;-999.00
ESALQ;16/2/2003;19.00;31.20;25.10;48.00;98.00;73.00;0.00;1.89;29.55;-999.00;-999.00
ESALQ;17/2/2003;17.60;32.70;25.15;41.00;98.50;69.75;0.00;0.87;23.48;-999.00;-999.00
ESALQ;18/2/2003;18.20;22.20;20.20;78.00;98.00;88.00;2.50;1.45;23.93;-999.00;-999.00
ESALQ;19/2/2003;16.40;30.10;23.25;44.00;99.00;71.50;0.10;1.45;24.69;-999.00;-999.00
ESALQ;20/2/2003;17.40;29.50;23.45;48.00;98.50;73.25;0.00;1.60;28.63;-999.00;-999.00
ESALQ;21/2/2003;19.60;30.40;25.00;53.00;99.00;76.00;0.00;1.89;26.05;-999.00;-999.00
ESALQ;22/2/2003;17.90;30.80;24.35;46.00;99.50;72.75;0.00;1.60;24.60;-999.00;-999.00
ESALQ;23/2/2003;19.60;30.80;25.20;51.00;99.00;75.00;0.00;1.31;25.82;-999.00;-999.00
ESALQ;24/2/2003;18.10;31.00;24.55;46.00;98.50;72.25;0.00;1.02;21.99;-999.00;-999.00
ESALQ;25/2/2003;18.80;31.40;25.10;47.00;97.00;72.00;3.30;1.16;18.48;-999.00;-999.00
ESALQ;26/2/2003;18.40;30.00;24.20;50.00;99.50;74.75;0.00;1.60;16.23;-999.00;-999.00
ESALQ;27/2/2003;18.80;31.20;25.00;48.00;99.50;73.75;0.00;0.73;25.35;-999.00;-999.00
ESALQ;28/2/2003;18.00;31.40;24.70;45.00;99.00;72.00;0.00;1.45;16.80;-999.00;-999.00
ESALQ;1/3/2003;19.90;29.50;24.70;56.00;98.50;77.25;25.50;1.89;21.80;-999.00;-999.00
ESALQ;2/3/2003;21.60;29.40;25.50;63.00;99.50;81.25;1.80;1.31;18.93;-999.00;-999.00
ESALQ;3/3/2003;20.10;28.60;24.35;60.00;98.00;79.00;0.00;1.45;18.11;-999.00;-999.00
ESALQ;4/3/2003;20.80;29.00;24.90;61.00;99.50;80.25;0.30;1.60;13.68;-999.00;-999.00
ESALQ;5/3/2003;20.60;28.20;24.40;63.00;98.50;80.75;2.20;1.45;16.47;-999.00;-999.00
ESALQ;6/3/2003;19.60;27.50;23.55;62.00;98.50;80.25;0.00;1.89;10.50;-999.00;-999.00
ESALQ;7/3/2003;20.00;22.80;21.40;84.00;98.50;91.25;3.80;1.60;13.27;-999.00;-999.00
ESALQ;8/3/2003;19.00;28.00;23.50;58.00;98.00;78.00;0.00;1.60;23.20;-999.00;-999.00
ESALQ;9/3/2003;17.60;28.80;23.20;51.00;98.00;74.50;0.00;1.89;23.45;-999.00;-999.00
ESALQ;10/3/2003;17.20;31.40;24.30;43.00;97.00;70.00;0.00;1.16;24.03;-999.00;-999.00
ESALQ;11/3/2003;18.40;32.20;25.30;44.00;98.50;71.25;0.00;1.16;21.49;-999.00;-999.00
ESALQ;12/3/2003;18.80;31.00;24.90;48.00;99.00;73.50;14.60;1.16;11.55;-999.00;-999.00
ESALQ;13/3/2003;18.60;26.80;22.70;61.00;99.50;80.25;0.40;1.16;23.38;-999.00;-999.00
ESALQ;14/3/2003;18.00;31.00;24.50;46.00;99.50;72.75;14.40;1.16;24.10;-999.00;-999.00
ESALQ;15/3/2003;18.40;30.90;24.65;47.00;99.50;73.25;0.80;1.16;26.79;-999.00;-999.00
ESALQ;16/3/2003;18.10;29.60;23.85;50.00;99.50;74.75;0.00;1.45;21.98;-999.00;-999.00
ESALQ;17/3/2003;19.00;30.50;24.75;50.00;98.00;74.00;0.00;1.60;21.15;-999.00;-999.00
ESALQ;18/3/2003;19.20;30.00;24.60;52.00;99.00;75.50;0.00;2.04;14.23;-999.00;-999.00
ESALQ;19/3/2003;20.50;28.50;24.50;62.00;98.50;80.25;16.60;1.45;10.07;-999.00;-999.00
ESALQ;20/3/2003;18.90;23.00;20.95;78.00;98.00;88.00;9.80;1.16;20.81;-999.00;-999.00
ESALQ;21/3/2003;18.20;28.00;23.10;55.00;98.00;76.50;0.00;1.16;14.55;-999.00;-999.00
ESALQ;22/3/2003;17.60;27.20;22.40;56.00;97.00;76.50;25.00;1.60;23.10;-999.00;-999.00
ESALQ;23/3/2003;16.60;27.60;22.10;51.00;98.00;74.50;0.00;1.45;22.28;-999.00;-999.00
ESALQ;24/3/2003;17.40;27.80;22.60;53.00;95.50;74.25;0.00;1.16;13.65;-999.00;-999.00
ESALQ;25/3/2003;16.90;26.80;21.85;55.00;95.50;75.25;1.30;1.60;11.05;-999.00;-999.00
ESALQ;26/3/2003;14.80;20.20;17.50;71.00;99.00;85.00;22.20;2.04;23.86;-999.00;-999.00
ESALQ;27/3/2003;15.00;27.00;21.00;48.00;99.50;73.75;0.00;1.45;20.80;-999.00;-999.00
ESALQ;28/3/2003;17.20;27.00;22.10;55.00;99.50;77.25;1.10;1.74;18.65;-999.00;-999.00
ESALQ;29/3/2003;16.00;27.20;21.60;50.00;98.40;74.20;5.40;1.16;16.81;-999.00;-999.00
ESALQ;30/3/2003;18.00;28.60;23.30;53.00;97.55;75.27;6.00;0.73;13.35;-999.00;-999.00
ESALQ;31/3/2003;19.20;28.50;23.85;57.00;96.35;76.67;0.00;1.16;24.64;-999.00;-999.00
ESALQ;1/4/2003;17.30;31.00;24.15;44.00;97.00;70.50;0.00;2.18;19.27;-999.00;-999.00
ESALQ;2/4/2003;19.60;29.60;24.60;55.00;98.50;76.75;0.00;1.16;22.12;-999.00;-999.00
ESALQ;3/4/2003;19.10;30.40;24.75;51.00;96.50;73.75;0.00;1.60;24.24;-999.00;-999.00
ESALQ;4/4/2003;17.00;29.80;23.40;46.00;97.00;71.50;0.00;0.87;15.56;-999.00;-999.00
ESALQ;5/4/2003;17.70;29.40;23.55;49.00;97.00;73.00;0.00;0.73;19.27;-999.00;-999.00
ESALQ;6/4/2003;18.60;29.80;24.20;51.00;96.50;73.75;3.40;1.16;9.66;-999.00;-999.00
