wscode;weatherdate;tmin;tmax;tmoy;rhmin;rhmax;rhmoy;rainfall;windtot;radiation;sunshine;eto
GOI;1/1/1999;19.00;32.50;25.75;69.00;96.00;82.50;5.00;1.95;20.05;-999.00;-999.00
GOI;2/1/1999;19.00;31.50;25.25;52.00;98.00;75.00;0.00;1.82;24.21;-999.00;-999.00
GOI;3/1/1999;19.00;31.50;25.25;66.00;96.00;81.00;9.00;2.73;15.75;-999.00;-999.00
GOI;4/1/1999;19.50;31.50;25.50;66.00;95.00;80.50;6.00;2.73;12.40;-999.00;-999.00
GOI;5/1/1999;19.50;28.50;24.00;62.00;98.00;80.00;3.00;3.64;16.07;-999.00;-999.00
GOI;6/1/1999;19.50;28.50;24.00;65.00;90.00;77.50;0.00;4.16;13.36;-999.00;-999.00
GOI;7/1/1999;21.00;28.00;24.50;60.00;94.00;77.00;0.00;4.29;12.24;-999.00;-999.00
GOI;8/1/1999;20.50;30.50;25.50;50.00;94.00;72.00;0.00;3.77;22.14;-999.00;-999.00
GOI;9/1/1999;19.00;30.50;24.75;55.00;98.00;76.50;8.00;1.43;20.85;-999.00;-999.00
GOI;10/1/1999;18.50;33.50;26.00;38.00;97.00;67.50;0.00;1.30;28.04;-999.00;-999.00
GOI;11/1/1999;17.50;33.50;25.50;48.00;95.00;71.50;0.00;1.56;24.69;-999.00;-999.00
GOI;12/1/1999;17.50;32.00;24.75;48.00;98.00;73.00;6.00;1.17;18.29;-999.00;-999.00
GOI;13/1/1999;19.00;31.50;25.25;56.00;97.00;76.50;0.00;1.17;13.34;-999.00;-999.00
GOI;14/1/1999;19.50;29.50;24.50;57.00;98.00;77.50;30.00;1.82;19.57;-999.00;-999.00
GOI;15/1/1999;19.50;29.50;24.50;66.00;96.00;81.00;6.00;3.12;16.37;-999.00;-999.00
GOI;16/1/1999;18.50;31.50;25.00;49.00;98.00;73.50;3.00;2.73;28.36;-999.00;-999.00
