wscode;weatherdate;tmin;tmax;tmoy;rhmin;rhmax;rhmoy;rainfall;windtot;radiation;sunshine;eto
IRRIwB;1/1/1980;20.50;29.50;25.00;-999.00;-999.00;61.00;0.00;0.60;14.00;-999.00;-999.00
IRRIwB;2/1/1980;21.50;29.50;25.50;-999.00;-999.00;64.00;0.50;0.30;12.50;-999.00;-999.00
IRRIwB;3/1/1980;21.00;29.70;25.35;-999.00;-999.00;61.00;0.00;0.60;17.10;-999.00;-999.00
IRRIwB;4/1/1980;19.50;29.90;24.70;-999.00;-999.00;65.00;0.20;0.60;18.40;-999.00;-999.00
IRRIwB;5/1/1980;20.80;28.90;24.85;-999.00;-999.00;69.00;0.00;1.00;13.10;-999.00;-999.00
IRRIwB;6/1/1980;20.00;29.00;24.50;-999.00;-999.00;58.00;1.50;0.80;20.40;-999.00;-999.00
IRRIwB;7/1/1980;18.00;29.60;23.80;-999.00;-999.00;61.00;2.50;0.80;12.50;-999.00;-999.00
IRRIwB;8/1/1980;20.80;28.50;24.65;-999.00;-999.00;58.00;0.00;1.00;19.80;-999.00;-999.00
IRRIwB;9/1/1980;20.50;28.50;24.50;-999.00;-999.00;65.00;0.00;0.30;17.70;-999.00;-999.00
IRRIwB;10/1/1980;20.50;28.70;24.60;-999.00;-999.00;62.00;0.00;0.70;20.40;-999.00;-999.00
IRRIwB;11/1/1980;19.50;28.70;24.10;-999.00;-999.00;62.00;0.00;0.70;21.50;-999.00;-999.00
IRRIwB;12/1/1980;23.00;27.90;25.45;-999.00;-999.00;68.00;0.00;0.10;12.50;-999.00;-999.00
IRRIwB;13/1/1980;24.00;29.70;26.85;-999.00;-999.00;70.00;0.00;0.20;13.00;-999.00;-999.00
IRRIwB;14/1/1980;23.50;27.50;25.50;-999.00;-999.00;72.00;0.00;0.40;9.40;-999.00;-999.00
IRRIwB;15/1/1980;23.50;27.50;25.50;-999.00;-999.00;64.00;0.00;0.60;8.80;-999.00;-999.00
IRRIwB;16/1/1980;22.50;28.30;25.40;-999.00;-999.00;61.00;0.00;0.90;16.70;-999.00;-999.00
IRRIwB;17/1/1980;23.30;28.50;25.90;-999.00;-999.00;70.00;6.90;0.20;13.10;-999.00;-999.00
IRRIwB;18/1/1980;22.70;26.00;24.35;-999.00;-999.00;73.00;0.20;0.70;10.00;-999.00;-999.00
IRRIwB;19/1/1980;19.50;28.10;23.80;-999.00;-999.00;64.00;0.00;0.90;15.00;-999.00;-999.00
IRRIwB;20/1/1980;22.00;29.20;25.60;-999.00;-999.00;65.00;0.00;0.70;17.30;-999.00;-999.00
IRRIwB;21/1/1980;22.50;28.50;25.50;-999.00;-999.00;65.00;0.00;1.00;17.70;-999.00;-999.00
IRRIwB;22/1/1980;23.50;27.00;25.25;-999.00;-999.00;71.00;0.00;0.60;10.40;-999.00;-999.00
IRRIwB;23/1/1980;21.50;26.30;23.90;-999.00;-999.00;69.00;0.20;0.90;8.10;-999.00;-999.00
IRRIwB;24/1/1980;21.50;26.00;23.75;-999.00;-999.00;73.00;0.20;0.70;7.90;-999.00;-999.00
IRRIwB;25/1/1980;22.50;27.50;25.00;-999.00;-999.00;64.00;0.00;1.00;11.30;-999.00;-999.00
IRRIwB;26/1/1980;23.30;27.30;25.30;-999.00;-999.00;70.00;0.00;0.60;10.70;-999.00;-999.00
IRRIwB;27/1/1980;23.10;27.10;25.10;-999.00;-999.00;74.00;0.00;0.60;9.20;-999.00;-999.00
IRRIwB;28/1/1980;22.40;29.90;26.15;-999.00;-999.00;60.00;0.00;0.20;16.90;-999.00;-999.00
IRRIwB;29/1/1980;21.40;31.90;26.65;-999.00;-999.00;57.00;0.00;0.40;18.00;-999.00;-999.00
IRRIwB;30/1/1980;23.00;29.20;26.10;-999.00;-999.00;72.00;0.50;0.50;13.60;-999.00;-999.00
IRRIwB;31/1/1980;21.50;28.30;24.90;-999.00;-999.00;69.00;0.00;0.70;17.10;-999.00;-999.00
IRRIwB;1/2/1980;22.50;28.50;25.50;-999.00;-999.00;65.00;0.00;0.70;17.70;-999.00;-999.00
IRRIwB;2/2/1980;22.50;30.00;26.25;-999.00;-999.00;62.00;0.00;0.50;23.60;-999.00;-999.00
IRRIwB;3/2/1980;23.40;28.90;26.15;-999.00;-999.00;71.00;0.00;0.40;16.30;-999.00;-999.00
IRRIwB;4/2/1980;23.50;29.50;26.50;-999.00;-999.00;64.00;0.00;0.30;18.40;-999.00;-999.00
IRRIwB;5/2/1980;20.60;29.50;25.05;-999.00;-999.00;59.00;1.00;0.10;22.50;-999.00;-999.00
IRRIwB;6/2/1980;21.80;26.10;23.95;-999.00;-999.00;75.00;3.30;0.20;9.60;-999.00;-999.00
IRRIwB;7/2/1980;20.50;27.10;23.80;-999.00;-999.00;68.00;0.00;0.90;14.60;-999.00;-999.00
IRRIwB;8/2/1980;21.30;27.50;24.40;-999.00;-999.00;67.00;0.00;0.60;15.00;-999.00;-999.00
IRRIwB;9/2/1980;21.60;27.10;24.35;-999.00;-999.00;68.00;0.00;1.10;11.50;-999.00;-999.00
IRRIwB;10/2/1980;21.60;27.50;24.55;-999.00;-999.00;64.00;0.00;0.90;10.70;-999.00;-999.00
IRRIwB;11/2/1980;20.50;27.80;24.15;-999.00;-999.00;65.00;0.50;1.40;17.70;-999.00;-999.00
IRRIwB;12/2/1980;22.50;27.60;25.05;-999.00;-999.00;64.00;0.50;2.60;14.60;-999.00;-999.00
IRRIwB;13/2/1980;21.60;24.50;23.05;-999.00;-999.00;77.00;10.70;0.80;6.50;-999.00;-999.00
IRRIwB;14/2/1980;20.30;27.50;23.90;-999.00;-999.00;67.00;0.80;0.80;10.00;-999.00;-999.00
