wscode;weatherdate;tmin;tmax;tmoy;rhmin;rhmax;rhmoy;rainfall;windtot;radiation;sunshine;eto
IRRIwP;1/1/1980;23.40;32.40;27.90;-999.00;-999.00;61.00;0.00;0.60;14.00;-999.00;-999.00
IRRIwP;2/1/1980;24.40;32.40;28.40;-999.00;-999.00;64.00;0.70;0.30;12.50;-999.00;-999.00
IRRIwP;3/1/1980;23.90;32.60;28.25;-999.00;-999.00;61.00;0.00;0.60;17.10;-999.00;-999.00
IRRIwP;4/1/1980;22.40;32.80;27.60;-999.00;-999.00;65.00;0.30;0.60;18.40;-999.00;-999.00
IRRIwP;5/1/1980;23.70;31.80;27.75;-999.00;-999.00;69.00;0.00;1.00;13.10;-999.00;-999.00
IRRIwP;6/1/1980;22.90;31.90;27.40;-999.00;-999.00;58.00;2.00;0.80;20.40;-999.00;-999.00
IRRIwP;7/1/1980;20.90;32.50;26.70;-999.00;-999.00;61.00;3.40;0.80;12.50;-999.00;-999.00
IRRIwP;8/1/1980;23.70;31.40;27.55;-999.00;-999.00;58.00;0.00;1.00;19.80;-999.00;-999.00
IRRIwP;9/1/1980;23.40;31.40;27.40;-999.00;-999.00;65.00;0.00;0.30;17.70;-999.00;-999.00
IRRIwP;10/1/1980;23.40;31.60;27.50;-999.00;-999.00;62.00;0.00;0.70;20.40;-999.00;-999.00
IRRIwP;11/1/1980;22.40;31.60;27.00;-999.00;-999.00;62.00;0.00;0.70;21.50;-999.00;-999.00
IRRIwP;12/1/1980;25.90;30.80;28.35;-999.00;-999.00;68.00;0.00;0.10;12.50;-999.00;-999.00
IRRIwP;13/1/1980;26.90;32.60;29.75;-999.00;-999.00;70.00;0.00;0.20;13.00;-999.00;-999.00
IRRIwP;14/1/1980;26.40;30.40;28.40;-999.00;-999.00;72.00;0.00;0.40;9.40;-999.00;-999.00
IRRIwP;15/1/1980;26.40;30.40;28.40;-999.00;-999.00;64.00;0.00;0.60;8.80;-999.00;-999.00
IRRIwP;16/1/1980;25.40;31.20;28.30;-999.00;-999.00;61.00;0.00;0.90;16.70;-999.00;-999.00
IRRIwP;17/1/1980;26.20;31.40;28.80;-999.00;-999.00;70.00;9.40;0.20;13.10;-999.00;-999.00
IRRIwP;18/1/1980;25.60;28.90;27.25;-999.00;-999.00;73.00;0.30;0.70;10.00;-999.00;-999.00
IRRIwP;19/1/1980;22.40;31.00;26.70;-999.00;-999.00;64.00;0.00;0.90;15.00;-999.00;-999.00
IRRIwP;20/1/1980;24.90;32.10;28.50;-999.00;-999.00;65.00;0.00;0.70;17.30;-999.00;-999.00
IRRIwP;21/1/1980;25.40;31.40;28.40;-999.00;-999.00;65.00;0.00;1.00;17.70;-999.00;-999.00
IRRIwP;22/1/1980;26.40;29.90;28.15;-999.00;-999.00;71.00;0.00;0.60;10.40;-999.00;-999.00
IRRIwP;23/1/1980;24.40;29.20;26.80;-999.00;-999.00;69.00;0.30;0.90;8.10;-999.00;-999.00
IRRIwP;24/1/1980;24.40;28.90;26.65;-999.00;-999.00;73.00;0.30;0.70;7.90;-999.00;-999.00
IRRIwP;25/1/1980;25.40;30.40;27.90;-999.00;-999.00;64.00;0.00;1.00;11.30;-999.00;-999.00
IRRIwP;26/1/1980;26.20;30.20;28.20;-999.00;-999.00;70.00;0.00;0.60;10.70;-999.00;-999.00
IRRIwP;27/1/1980;26.00;30.00;28.00;-999.00;-999.00;74.00;0.00;0.60;9.20;-999.00;-999.00
IRRIwP;28/1/1980;25.30;32.80;29.05;-999.00;-999.00;60.00;0.00;0.20;16.90;-999.00;-999.00
IRRIwP;29/1/1980;24.30;34.80;29.55;-999.00;-999.00;57.00;0.00;0.40;18.00;-999.00;-999.00
IRRIwP;30/1/1980;25.90;32.10;29.00;-999.00;-999.00;72.00;0.70;0.50;13.60;-999.00;-999.00
IRRIwP;31/1/1980;24.40;31.20;27.80;-999.00;-999.00;69.00;0.00;0.70;17.10;-999.00;-999.00
IRRIwP;1/2/1980;25.20;31.20;28.20;-999.00;-999.00;65.00;0.00;0.70;17.70;-999.00;-999.00
IRRIwP;2/2/1980;25.20;32.70;28.95;-999.00;-999.00;62.00;0.00;0.50;23.60;-999.00;-999.00
IRRIwP;3/2/1980;26.10;31.60;28.85;-999.00;-999.00;71.00;0.00;0.40;16.30;-999.00;-999.00
IRRIwP;4/2/1980;26.20;32.20;29.20;-999.00;-999.00;64.00;0.00;0.30;18.40;-999.00;-999.00
IRRIwP;5/2/1980;23.30;32.20;27.75;-999.00;-999.00;59.00;1.10;0.10;22.50;-999.00;-999.00
IRRIwP;6/2/1980;24.50;28.80;26.65;-999.00;-999.00;75.00;3.60;0.20;9.60;-999.00;-999.00
IRRIwP;7/2/1980;23.20;29.80;26.50;-999.00;-999.00;68.00;0.00;0.90;14.60;-999.00;-999.00
IRRIwP;8/2/1980;24.00;30.20;27.10;-999.00;-999.00;67.00;0.00;0.60;15.00;-999.00;-999.00
IRRIwP;9/2/1980;24.30;29.80;27.05;-999.00;-999.00;68.00;0.00;1.10;11.50;-999.00;-999.00
IRRIwP;10/2/1980;24.30;30.20;27.25;-999.00;-999.00;64.00;0.00;0.90;10.70;-999.00;-999.00
IRRIwP;11/2/1980;23.20;30.50;26.85;-999.00;-999.00;65.00;0.50;1.40;17.70;-999.00;-999.00
IRRIwP;12/2/1980;25.20;30.30;27.75;-999.00;-999.00;64.00;0.50;2.60;14.60;-999.00;-999.00
IRRIwP;13/2/1980;24.30;27.20;25.75;-999.00;-999.00;77.00;11.60;0.80;6.50;-999.00;-999.00
IRRIwP;14/2/1980;23.00;30.20;26.60;-999.00;-999.00;67.00;0.90;0.80;10.00;-999.00;-999.00
IRRIwP;15/2/1980;24.30;30.20;27.25;-999.00;-999.00;69.00;0.50;0.90;12.70;-999.00;-999.00
IRRIwP;16/2/1980;23.90;30.70;27.30;-999.00;-999.00;65.00;0.00;1.60;16.90;-999.00;-999.00
IRRIwP;17/2/1980;24.80;31.60;28.20;-999.00;-999.00;64.00;0.00;2.40;22.80;-999.00;-999.00
IRRIwP;18/2/1980;24.00;30.80;27.40;-999.00;-999.00;64.00;0.00;1.90;13.40;-999.00;-999.00
IRRIwP;19/2/1980;24.50;32.60;28.55;-999.00;-999.00;62.00;0.00;1.70;23.60;-999.00;-999.00
IRRIwP;20/2/1980;23.90;32.00;27.95;-999.00;-999.00;62.00;0.00;1.70;24.40;-999.00;-999.00
IRRIwP;21/2/1980;23.20;32.00;27.60;-999.00;-999.00;62.00;0.00;1.70;21.70;-999.00;-999.00
IRRIwP;22/2/1980;23.30;36.70;30.00;-999.00;-999.00;47.00;0.00;1.40;21.50;-999.00;-999.00
IRRIwP;23/2/1980;23.20;31.30;27.25;-999.00;-999.00;62.00;0.00;1.60;21.90;-999.00;-999.00
IRRIwP;24/2/1980;23.30;33.10;28.20;-999.00;-999.00;58.00;0.00;0.80;24.20;-999.00;-999.00
IRRIwP;25/2/1980;24.20;32.30;28.25;-999.00;-999.00;61.00;0.00;1.00;20.70;-999.00;-999.00
IRRIwP;26/2/1980;23.50;32.20;27.85;-999.00;-999.00;64.00;0.00;0.20;18.00;-999.00;-999.00
IRRIwP;27/2/1980;21.70;32.80;27.25;-999.00;-999.00;62.00;0.00;0.40;24.40;-999.00;-999.00
IRRIwP;28/2/1980;22.90;33.70;28.30;-999.00;-999.00;58.00;0.00;1.20;20.70;-999.00;-999.00
IRRIwP;29/2/1980;24.50;33.30;28.90;-999.00;-999.00;60.00;0.00;1.30;19.80;-999.00;-999.00
IRRIwP;1/3/1980;25.20;34.40;29.80;-999.00;-999.00;59.00;0.00;1.20;18.60;-999.00;-999.00
IRRIwP;2/3/1980;24.50;34.00;29.25;-999.00;-999.00;62.00;0.00;1.30;17.30;-999.00;-999.00
IRRIwP;3/3/1980;24.40;33.60;29.00;-999.00;-999.00;57.00;0.00;1.40;21.90;-999.00;-999.00
IRRIwP;4/3/1980;23.90;34.20;29.05;-999.00;-999.00;55.00;0.00;0.60;21.70;-999.00;-999.00
IRRIwP;5/3/1980;23.40;32.40;27.90;-999.00;-999.00;59.00;0.00;0.80;21.10;-999.00;-999.00
IRRIwP;6/3/1980;23.10;33.40;28.25;-999.00;-999.00;58.00;0.00;1.20;21.30;-999.00;-999.00
IRRIwP;7/3/1980;24.50;33.00;28.75;-999.00;-999.00;64.00;0.00;0.40;18.40;-999.00;-999.00
IRRIwP;8/3/1980;24.70;35.70;30.20;-999.00;-999.00;55.00;0.00;0.70;21.10;-999.00;-999.00
IRRIwP;9/3/1980;24.40;36.20;30.30;-999.00;-999.00;55.00;12.10;0.20;17.50;-999.00;-999.00
IRRIwP;10/3/1980;23.60;33.90;28.75;-999.00;-999.00;65.00;0.00;1.10;19.20;-999.00;-999.00
IRRIwP;11/3/1980;25.40;32.90;29.15;-999.00;-999.00;62.00;0.00;1.40;22.10;-999.00;-999.00
IRRIwP;12/3/1980;25.20;32.40;28.80;-999.00;-999.00;61.00;0.00;1.40;15.40;-999.00;-999.00
IRRIwP;13/3/1980;25.20;32.90;29.05;-999.00;-999.00;62.00;0.00;1.60;21.70;-999.00;-999.00
IRRIwP;14/3/1980;25.40;32.90;29.15;-999.00;-999.00;62.00;0.00;1.40;23.20;-999.00;-999.00
IRRIwP;15/3/1980;24.40;32.80;28.60;-999.00;-999.00;60.00;0.00;1.50;22.10;-999.00;-999.00
IRRIwP;16/3/1980;25.00;32.20;28.60;-999.00;-999.00;62.00;0.00;1.30;16.90;-999.00;-999.00
IRRIwP;17/3/1980;24.90;32.90;28.90;-999.00;-999.00;62.00;0.00;1.80;21.90;-999.00;-999.00
IRRIwP;18/3/1980;23.90;32.40;28.15;-999.00;-999.00;61.00;0.00;1.30;20.70;-999.00;-999.00
IRRIwP;19/3/1980;25.20;31.50;28.35;-999.00;-999.00;65.00;0.00;1.20;12.10;-999.00;-999.00
IRRIwP;20/3/1980;25.20;32.70;28.95;-999.00;-999.00;60.00;0.00;2.00;25.50;-999.00;-999.00
IRRIwP;21/3/1980;22.90;32.70;27.80;-999.00;-999.00;53.00;0.00;1.50;23.00;-999.00;-999.00
IRRIwP;22/3/1980;24.40;33.00;28.70;-999.00;-999.00;59.00;0.30;1.50;22.80;-999.00;-999.00
IRRIwP;23/3/1980;26.00;31.40;28.70;-999.00;-999.00;75.00;7.80;2.00;11.10;-999.00;-999.00
IRRIwP;24/3/1980;25.40;28.70;27.05;-999.00;-999.00;83.00;57.80;1.60;2.90;-999.00;-999.00
IRRIwP;25/3/1980;22.70;29.20;25.95;-999.00;-999.00;83.00;3.90;0.20;6.50;-999.00;-999.00
IRRIwP;26/3/1980;25.60;33.40;29.50;-999.00;-999.00;71.00;0.00;0.50;16.30;-999.00;-999.00
IRRIwP;27/3/1980;26.90;32.90;29.90;-999.00;-999.00;67.00;3.00;0.50;13.80;-999.00;-999.00
IRRIwP;28/3/1980;26.60;31.40;29.00;-999.00;-999.00;70.00;0.60;1.30;16.70;-999.00;-999.00
IRRIwP;29/3/1980;26.90;32.80;29.85;-999.00;-999.00;69.00;0.90;0.40;13.60;-999.00;-999.00
IRRIwP;30/3/1980;23.90;33.10;28.50;-999.00;-999.00;66.00;0.90;1.50;18.80;-999.00;-999.00
IRRIwP;31/3/1980;26.40;33.10;29.75;-999.00;-999.00;68.00;0.00;1.70;25.10;-999.00;-999.00
IRRIwP;1/4/1980;25.40;33.00;29.20;-999.00;-999.00;62.00;0.00;1.50;20.40;-999.00;-999.00
IRRIwP;2/4/1980;25.40;32.40;28.90;-999.00;-999.00;66.00;0.20;2.10;19.00;-999.00;-999.00
