wscode;weatherdate;tmin;tmax;tmoy;rhmin;rhmax;rhmoy;rainfall;windtot;radiation;sunshine;eto
LAV;11/12/1990;1.30;7.70;3.10;52.00;99.00;75.50;0.00;1.20;4.10;-999.00;-999.00
LAV;12/12/1990;-3.00;10.80;6.70;51.00;97.00;74.00;0.00;2.90;4.70;-999.00;-999.00
LAV;13/12/1990;3.80;7.90;5.90;51.00;68.00;59.50;0.00;2.70;5.80;-999.00;-999.00
LAV;14/12/1990;-1.10;8.50;2.90;49.00;98.00;73.50;0.00;0.70;5.80;-999.00;-999.00
LAV;15/12/1990;-6.90;5.60;-1.90;62.00;100.00;81.00;0.00;0.40;3.20;-999.00;-999.00
LAV;16/12/1990;-5.80;7.00;0.60;53.00;100.00;76.50;0.00;0.70;6.70;-999.00;-999.00
LAV;17/12/1990;-4.90;6.50;1.00;58.00;88.00;73.00;0.00;0.70;6.10;-999.00;-999.00
LAV;18/12/1990;0.10;4.00;2.60;83.00;100.00;91.50;25.50;0.50;0.50;-999.00;-999.00
LAV;19/12/1990;1.50;7.90;3.90;72.00;100.00;86.00;0.00;0.70;3.20;-999.00;-999.00
LAV;20/12/1990;-4.30;8.00;0.40;48.00;99.00;73.50;0.00;0.70;6.60;-999.00;-999.00
LAV;21/12/1990;-6.70;11.30;0.10;45.00;100.00;72.50;0.00;0.60;7.10;-999.00;-999.00
LAV;22/12/1990;-3.20;10.50;2.10;74.00;100.00;87.00;0.00;0.70;5.30;-999.00;-999.00
LAV;23/12/1990;-2.60;11.30;2.60;76.00;100.00;88.00;0.00;0.90;6.40;-999.00;-999.00
LAV;24/12/1990;-2.20;7.10;1.70;84.00;100.00;92.00;0.00;0.60;2.90;-999.00;-999.00
LAV;25/12/1990;-2.60;11.50;3.20;66.00;100.00;83.00;1.50;0.70;5.90;-999.00;-999.00
LAV;26/12/1990;1.80;12.60;7.70;55.00;100.00;77.50;4.00;1.40;6.30;-999.00;-999.00
