wscode;weatherdate;tmin;tmax;tmoy;rhmin;rhmax;rhmoy;rainfall;windtot;radiation;sunshine;eto
LUDH;1/1/2008;2.60;18.40;10.50;-999.00;-999.00;66.74;0.00;0.39;12.64;-999.00;-999.00
LUDH;2/1/2008;0.20;17.40;8.80;-999.00;-999.00;64.59;0.00;0.67;12.67;-999.00;-999.00
LUDH;3/1/2008;0.80;18.60;9.70;-999.00;-999.00;64.19;0.00;0.70;11.42;-999.00;-999.00
LUDH;4/1/2008;3.80;19.00;11.40;-999.00;-999.00;66.79;0.00;0.81;12.73;-999.00;-999.00
LUDH;5/1/2008;7.50;15.60;11.55;-999.00;-999.00;74.60;1.50;1.33;6.03;-999.00;-999.00
LUDH;6/1/2008;10.20;18.20;14.20;-999.00;-999.00;75.81;0.00;0.70;5.73;-999.00;-999.00
LUDH;7/1/2008;6.40;25.80;16.10;-999.00;-999.00;64.25;0.00;1.00;10.19;-999.00;-999.00
LUDH;8/1/2008;12.60;18.60;15.60;-999.00;-999.00;78.89;6.60;1.64;5.78;-999.00;-999.00
LUDH;9/1/2008;12.80;20.00;16.40;-999.00;-999.00;82.85;1.40;1.70;7.83;-999.00;-999.00
LUDH;10/1/2008;9.80;18.40;14.10;-999.00;-999.00;77.37;0.00;1.03;7.53;-999.00;-999.00
LUDH;11/1/2008;6.20;16.00;11.10;-999.00;-999.00;76.44;0.00;1.58;11.24;-999.00;-999.00
LUDH;12/1/2008;4.20;14.80;9.50;-999.00;-999.00;73.85;0.00;1.33;10.06;-999.00;-999.00
LUDH;13/1/2008;4.00;17.60;10.80;-999.00;-999.00;69.37;0.00;1.81;13.55;-999.00;-999.00
LUDH;14/1/2008;4.20;16.00;10.10;-999.00;-999.00;71.49;0.00;1.86;11.05;-999.00;-999.00
LUDH;15/1/2008;7.40;18.60;13.00;-999.00;-999.00;71.43;0.00;1.47;12.34;-999.00;-999.00
LUDH;16/1/2008;9.00;17.60;13.30;-999.00;-999.00;75.83;0.00;1.08;6.50;-999.00;-999.00
LUDH;17/1/2008;10.40;16.00;13.20;-999.00;-999.00;83.04;6.80;2.22;6.04;-999.00;-999.00
LUDH;18/1/2008;10.40;17.20;13.80;-999.00;-999.00;81.09;0.00;1.22;11.43;-999.00;-999.00
LUDH;19/1/2008;3.40;16.00;9.70;-999.00;-999.00;67.92;0.00;0.95;14.00;-999.00;-999.00
LUDH;20/1/2008;2.40;16.00;9.20;-999.00;-999.00;77.27;0.00;1.50;11.46;-999.00;-999.00
LUDH;21/1/2008;-1.00;14.60;6.80;-999.00;-999.00;67.85;0.00;1.33;14.23;-999.00;-999.00
LUDH;22/1/2008;-1.00;15.40;7.20;-999.00;-999.00;66.64;0.00;0.81;14.47;-999.00;-999.00
LUDH;23/1/2008;-0.20;14.40;7.10;-999.00;-999.00;67.78;0.00;1.00;14.55;-999.00;-999.00
LUDH;24/1/2008;-1.60;14.80;6.60;-999.00;-999.00;67.61;0.00;0.70;13.25;-999.00;-999.00
LUDH;25/1/2008;3.00;13.80;8.40;-999.00;-999.00;71.68;0.00;1.36;9.18;-999.00;-999.00
LUDH;26/1/2008;3.50;14.50;9.00;-999.00;-999.00;70.69;0.00;1.36;14.35;-999.00;-999.00
LUDH;27/1/2008;-1.20;15.40;7.10;-999.00;-999.00;64.07;0.00;0.58;14.95;-999.00;-999.00
LUDH;28/1/2008;4.00;15.40;9.70;-999.00;-999.00;69.50;0.00;0.47;8.65;-999.00;-999.00
LUDH;29/1/2008;1.40;16.20;8.80;-999.00;-999.00;67.69;0.00;0.89;13.37;-999.00;-999.00
LUDH;30/1/2008;1.80;17.40;9.60;-999.00;-999.00;66.35;0.00;0.70;13.62;-999.00;-999.00
LUDH;31/1/2008;2.00;17.00;9.50;-999.00;-999.00;67.04;0.00;0.95;14.59;-999.00;-999.00
LUDH;1/2/2008;1.40;17.40;9.40;-999.00;-999.00;66.35;0.00;1.06;14.94;-999.00;-999.00
LUDH;2/2/2008;0.60;17.80;9.20;-999.00;-999.00;65.44;1.20;1.22;10.64;-999.00;-999.00
LUDH;3/2/2008;8.50;11.80;10.15;-999.00;-999.00;88.51;1.20;0.95;6.75;-999.00;-999.00
LUDH;4/2/2008;4.50;19.00;11.75;-999.00;-999.00;69.52;0.00;1.67;12.50;-999.00;-999.00
LUDH;5/2/2008;7.80;13.00;10.40;-999.00;-999.00;85.55;0.80;0.92;6.85;-999.00;-999.00
LUDH;6/2/2008;8.00;15.60;11.80;-999.00;-999.00;81.66;0.00;0.72;6.90;-999.00;-999.00
LUDH;7/2/2008;4.60;13.00;8.80;-999.00;-999.00;85.55;0.00;1.42;6.95;-999.00;-999.00
LUDH;8/2/2008;2.80;14.50;8.65;-999.00;-999.00;75.23;0.00;1.53;13.74;-999.00;-999.00
LUDH;9/2/2008;2.80;16.40;9.60;-999.00;-999.00;70.40;0.00;1.86;15.59;-999.00;-999.00
LUDH;10/2/2008;2.60;17.00;9.80;-999.00;-999.00;68.59;0.00;1.14;16.24;-999.00;-999.00
LUDH;11/2/2008;0.80;18.00;9.40;-999.00;-999.00;65.00;0.00;0.92;16.90;-999.00;-999.00
LUDH;12/2/2008;1.20;18.00;9.60;-999.00;-999.00;65.97;0.00;1.86;17.01;-999.00;-999.00
LUDH;13/2/2008;1.60;19.00;10.30;-999.00;-999.00;63.15;0.00;1.20;17.39;-999.00;-999.00
