wscode;weatherdate;tmin;tmax;tmoy;rhmin;rhmax;rhmoy;rainfall;windtot;radiation;sunshine;eto
LUDHP;1/1/1980;13.00;16.50;14.75;-999.00;-999.00;51.00;2.80;3.00;6.80;-999.00;-999.00
LUDHP;2/1/1980;8.40;19.90;14.15;-999.00;-999.00;50.00;1.10;0.20;8.60;-999.00;-999.00
LUDHP;3/1/1980;7.80;18.10;12.95;-999.00;-999.00;38.00;0.00;0.90;11.00;-999.00;-999.00
LUDHP;4/1/1980;7.00;20.50;13.75;-999.00;-999.00;27.00;0.00;0.40;14.00;-999.00;-999.00
LUDHP;5/1/1980;6.70;20.60;13.65;-999.00;-999.00;22.00;0.00;1.40;14.10;-999.00;-999.00
LUDHP;6/1/1980;6.90;20.60;13.75;-999.00;-999.00;19.00;0.00;2.40;14.40;-999.00;-999.00
LUDHP;7/1/1980;6.40;20.50;13.45;-999.00;-999.00;15.00;0.00;2.10;11.70;-999.00;-999.00
LUDHP;8/1/1980;7.10;21.50;14.30;-999.00;-999.00;11.00;0.00;1.60;12.90;-999.00;-999.00
LUDHP;9/1/1980;4.80;20.80;12.80;-999.00;-999.00;11.00;0.00;2.30;14.60;-999.00;-999.00
LUDHP;10/1/1980;6.20;21.80;14.00;-999.00;-999.00;14.00;0.00;2.90;14.60;-999.00;-999.00
LUDHP;11/1/1980;5.20;20.30;12.75;-999.00;-999.00;13.00;0.00;1.30;10.80;-999.00;-999.00
LUDHP;12/1/1980;8.60;18.70;13.65;-999.00;-999.00;11.00;0.00;0.50;7.50;-999.00;-999.00
LUDHP;13/1/1980;5.20;20.50;12.85;-999.00;-999.00;7.00;0.00;2.00;14.20;-999.00;-999.00
LUDHP;14/1/1980;5.60;22.20;13.90;-999.00;-999.00;7.00;0.00;1.50;14.30;-999.00;-999.00
LUDHP;15/1/1980;6.60;23.60;15.10;-999.00;-999.00;7.00;0.00;0.10;10.10;-999.00;-999.00
LUDHP;16/1/1980;11.00;22.00;16.50;-999.00;-999.00;6.00;0.00;1.00;10.50;-999.00;-999.00
LUDHP;17/1/1980;8.60;21.80;15.20;-999.00;-999.00;11.00;0.00;1.50;14.70;-999.00;-999.00
LUDHP;18/1/1980;6.20;23.60;14.90;-999.00;-999.00;14.00;0.00;0.50;11.30;-999.00;-999.00
LUDHP;19/1/1980;9.50;25.20;17.35;-999.00;-999.00;15.00;0.00;2.10;15.40;-999.00;-999.00
LUDHP;20/1/1980;8.00;22.80;15.40;-999.00;-999.00;19.00;0.00;1.40;6.90;-999.00;-999.00
LUDHP;21/1/1980;7.10;20.30;13.70;-999.00;-999.00;16.00;0.00;1.60;14.70;-999.00;-999.00
LUDHP;22/1/1980;6.00;21.80;13.90;-999.00;-999.00;13.00;0.00;2.40;15.30;-999.00;-999.00
LUDHP;23/1/1980;6.40;22.80;14.60;-999.00;-999.00;9.00;0.00;3.20;15.40;-999.00;-999.00
LUDHP;24/1/1980;8.70;24.60;16.65;-999.00;-999.00;8.00;0.00;2.80;14.90;-999.00;-999.00
LUDHP;25/1/1980;11.60;23.10;17.35;-999.00;-999.00;13.00;0.00;0.90;7.80;-999.00;-999.00
LUDHP;26/1/1980;9.60;24.30;16.95;-999.00;-999.00;50.00;1.30;1.30;8.10;-999.00;-999.00
LUDHP;27/1/1980;11.70;22.50;17.10;-999.00;-999.00;13.00;0.00;0.60;15.80;-999.00;-999.00
LUDHP;28/1/1980;7.40;21.40;14.40;-999.00;-999.00;19.00;0.00;2.50;16.20;-999.00;-999.00
LUDHP;29/1/1980;7.10;21.00;14.05;-999.00;-999.00;12.00;0.00;3.50;16.30;-999.00;-999.00
LUDHP;30/1/1980;4.70;21.30;13.00;-999.00;-999.00;12.00;0.00;2.20;16.50;-999.00;-999.00
LUDHP;31/1/1980;4.50;22.00;13.25;-999.00;-999.00;9.00;0.00;0.70;16.40;-999.00;-999.00
LUDHP;1/2/1980;4.10;23.90;14.00;-999.00;-999.00;10.00;0.00;0.80;15.70;-999.00;-999.00
LUDHP;2/2/1980;11.40;19.20;15.30;-999.00;-999.00;50.00;0.40;4.30;7.80;-999.00;-999.00
LUDHP;3/2/1980;12.30;21.70;17.00;-999.00;-999.00;50.00;2.60;2.70;13.60;-999.00;-999.00
LUDHP;4/2/1980;12.10;20.80;16.45;-999.00;-999.00;34.00;0.00;0.70;15.00;-999.00;-999.00
