wscode;weatherdate;tmin;tmax;tmoy;rhmin;rhmax;rhmoy;rainfall;windtot;radiation;sunshine;eto
MANFRE;1/1/2000;19.00;29.00;24.00;-999.00;-999.00;61.00;0.00;-999.00;24.50;-999.00;-999.00
MANFRE;2/1/2000;15.00;30.70;22.85;-999.00;-999.00;62.00;0.00;-999.00;27.50;-999.00;-999.00
MANFRE;3/1/2000;19.00;29.60;24.30;-999.00;-999.00;72.00;0.00;-999.00;8.00;-999.00;-999.00
MANFRE;4/1/2000;13.90;30.60;22.25;-999.00;-999.00;75.00;0.00;-999.00;25.20;-999.00;-999.00
MANFRE;5/1/2000;14.70;30.00;22.35;-999.00;-999.00;76.00;0.00;-999.00;28.90;-999.00;-999.00
MANFRE;6/1/2000;15.00;32.00;23.50;-999.00;-999.00;75.00;0.00;-999.00;28.80;-999.00;-999.00
MANFRE;7/1/2000;16.20;27.00;21.60;-999.00;-999.00;79.00;0.00;-999.00;8.50;-999.00;-999.00
MANFRE;8/1/2000;16.00;27.00;21.50;-999.00;-999.00;78.00;0.00;-999.00;22.90;-999.00;-999.00
MANFRE;9/1/2000;12.00;30.00;21.00;-999.00;-999.00;72.00;7.00;-999.00;22.80;-999.00;-999.00
MANFRE;10/1/2000;15.90;27.50;21.70;-999.00;-999.00;84.00;0.00;-999.00;20.60;-999.00;-999.00
MANFRE;11/1/2000;17.90;30.00;23.95;-999.00;-999.00;81.00;13.00;-999.00;17.50;-999.00;-999.00
MANFRE;12/1/2000;19.00;28.50;23.75;-999.00;-999.00;76.00;0.00;-999.00;25.40;-999.00;-999.00
MANFRE;13/1/2000;16.00;30.00;23.00;-999.00;-999.00;82.00;4.50;-999.00;26.60;-999.00;-999.00
MANFRE;14/1/2000;20.00;25.70;22.85;-999.00;-999.00;88.00;0.00;-999.00;12.30;-999.00;-999.00
MANFRE;15/1/2000;17.00;29.00;23.00;-999.00;-999.00;85.00;0.00;-999.00;18.30;-999.00;-999.00
MANFRE;16/1/2000;21.00;26.50;23.75;-999.00;-999.00;90.00;2.00;-999.00;9.60;-999.00;-999.00
MANFRE;17/1/2000;15.40;27.80;21.60;-999.00;-999.00;68.00;0.00;-999.00;21.60;-999.00;-999.00
MANFRE;18/1/2000;11.00;30.70;20.85;-999.00;-999.00;61.00;0.00;-999.00;28.50;-999.00;-999.00
MANFRE;19/1/2000;14.10;31.70;22.90;-999.00;-999.00;68.00;0.00;-999.00;29.40;-999.00;-999.00
MANFRE;20/1/2000;21.00;33.90;27.45;-999.00;-999.00;67.00;0.00;-999.00;28.20;-999.00;-999.00
MANFRE;21/1/2000;20.00;28.20;24.10;-999.00;-999.00;63.00;0.00;-999.00;16.40;-999.00;-999.00
MANFRE;22/1/2000;16.00;26.40;21.20;-999.00;-999.00;72.00;0.00;-999.00;16.40;-999.00;-999.00
MANFRE;23/1/2000;13.00;26.00;19.50;-999.00;-999.00;78.00;0.00;-999.00;14.00;-999.00;-999.00
MANFRE;24/1/2000;17.00;20.30;18.65;-999.00;-999.00;93.00;13.00;-999.00;14.40;-999.00;-999.00
MANFRE;25/1/2000;12.70;28.50;20.60;-999.00;-999.00;81.00;0.00;-999.00;28.50;-999.00;-999.00
MANFRE;26/1/2000;14.70;29.80;22.25;-999.00;-999.00;74.00;0.00;-999.00;28.00;-999.00;-999.00
MANFRE;27/1/2000;13.20;30.30;21.75;-999.00;-999.00;62.00;0.00;-999.00;27.90;-999.00;-999.00
MANFRE;28/1/2000;14.50;30.00;22.25;-999.00;-999.00;72.00;0.00;-999.00;28.10;-999.00;-999.00
MANFRE;29/1/2000;12.00;26.00;19.00;-999.00;-999.00;85.00;15.00;-999.00;15.10;-999.00;-999.00
MANFRE;30/1/2000;14.00;27.40;20.70;-999.00;-999.00;80.00;0.00;-999.00;26.30;-999.00;-999.00
