wscode;weatherdate;tmin;tmax;tmoy;rhmin;rhmax;rhmoy;rainfall;windtot;radiation;sunshine;eto
MAUG;1/5/2015;13.40;18.70;16.20;80.00;100.00;90.00;0.50;1.90;7.88;-999.00;-999.00
MAUG;2/5/2015;13.50;23.20;18.00;52.00;100.00;76.00;0.00;2.10;24.75;-999.00;-999.00
MAUG;3/5/2015;14.60;19.60;16.90;84.00;100.00;92.00;0.00;1.40;7.42;-999.00;-999.00
MAUG;4/5/2015;14.10;22.00;17.10;70.00;100.00;85.00;0.00;1.20;11.18;-999.00;-999.00
MAUG;5/5/2015;14.60;22.60;17.70;68.00;100.00;84.00;0.00;1.40;18.49;-999.00;-999.00
MAUG;6/5/2015;11.20;26.10;18.70;26.00;100.00;63.00;0.00;1.60;27.54;-999.00;-999.00
MAUG;7/5/2015;7.60;21.80;15.50;26.00;100.00;63.00;0.00;1.40;27.61;-999.00;-999.00
MAUG;8/5/2015;8.80;22.90;16.30;54.00;100.00;77.00;0.00;1.80;20.03;-999.00;-999.00
MAUG;9/5/2015;15.30;27.80;20.70;6.00;100.00;53.00;0.00;2.30;27.41;-999.00;-999.00
MAUG;10/5/2015;9.40;27.70;18.70;18.00;100.00;59.00;0.00;1.30;27.75;-999.00;-999.00
MAUG;11/5/2015;10.00;24.10;16.70;58.00;100.00;79.00;0.00;1.20;27.16;-999.00;-999.00
MAUG;12/5/2015;11.50;21.10;16.40;74.00;100.00;87.00;0.00;1.10;25.02;-999.00;-999.00
MAUG;13/5/2015;10.60;21.60;16.60;76.00;100.00;88.00;5.00;1.00;22.37;-999.00;-999.00
MAUG;14/5/2015;14.40;29.00;20.30;34.00;100.00;67.00;0.00;2.60;23.96;-999.00;-999.00
MAUG;15/5/2015;11.50;20.80;15.60;4.00;100.00;52.00;0.00;3.50;16.75;-999.00;-999.00
MAUG;16/5/2015;13.50;25.90;20.10;-6.00;100.00;47.00;5.00;3.60;26.85;-999.00;-999.00
MAUG;17/5/2015;12.10;27.80;20.00;10.00;100.00;55.00;0.00;1.70;29.46;-999.00;-999.00
MAUG;18/5/2015;9.00;24.60;17.70;30.00;100.00;65.00;5.00;1.70;29.71;-999.00;-999.00
MAUG;19/5/2015;12.40;22.90;16.80;34.00;100.00;67.00;0.00;2.50;13.29;-999.00;-999.00
MAUG;20/5/2015;8.60;21.70;15.50;-14.00;100.00;43.00;0.00;3.40;30.30;-999.00;-999.00
MAUG;21/5/2015;8.90;22.30;16.30;-30.00;100.00;35.00;0.00;4.10;27.91;-999.00;-999.00
MAUG;22/5/2015;10.50;25.00;18.80;-38.00;100.00;31.00;10.00;3.60;30.36;-999.00;-999.00
MAUG;23/5/2015;14.50;24.80;19.80;-30.00;100.00;35.00;0.00;3.30;20.24;-999.00;-999.00
MAUG;24/5/2015;13.70;26.60;19.80;-4.00;100.00;48.00;0.00;1.80;26.46;-999.00;-999.00
MAUG;25/5/2015;11.60;28.20;20.80;-2.00;100.00;49.00;0.00;2.30;20.70;-999.00;-999.00
