wscode;weatherdate;tmin;tmax;tmoy;rhmin;rhmax;rhmoy;rainfall;windtot;radiation;sunshine;eto
NANJ;1/1/2007;5.50;8.00;6.75;-999.00;-999.00;70.00;1.30;0.70;3.80;-999.00;-999.00
NANJ;2/1/2007;2.90;5.90;4.40;-999.00;-999.00;70.00;4.90;0.70;4.10;-999.00;-999.00
NANJ;3/1/2007;2.30;5.40;3.85;-999.00;-999.00;70.00;0.50;0.70;5.40;-999.00;-999.00
NANJ;4/1/2007;2.90;5.10;4.00;-999.00;-999.00;70.00;0.00;0.70;3.30;-999.00;-999.00
NANJ;5/1/2007;0.20;8.00;4.10;-999.00;-999.00;70.00;0.00;0.70;8.20;-999.00;-999.00
NANJ;6/1/2007;0.90;5.80;3.35;-999.00;-999.00;70.00;0.00;0.70;13.40;-999.00;-999.00
NANJ;7/1/2007;-1.50;6.20;2.35;-999.00;-999.00;70.00;0.00;0.70;13.60;-999.00;-999.00
NANJ;8/1/2007;-4.10;7.40;1.65;-999.00;-999.00;70.00;0.00;0.70;14.20;-999.00;-999.00
NANJ;9/1/2007;-4.50;9.20;2.35;-999.00;-999.00;70.00;0.00;0.70;14.80;-999.00;-999.00
NANJ;10/1/2007;-4.20;11.80;3.80;-999.00;-999.00;70.00;0.00;0.70;14.70;-999.00;-999.00
NANJ;11/1/2007;1.10;11.80;6.45;-999.00;-999.00;70.00;0.00;0.70;10.80;-999.00;-999.00
NANJ;12/1/2007;2.30;8.80;5.55;-999.00;-999.00;70.00;3.60;0.70;7.60;-999.00;-999.00
NANJ;13/1/2007;-1.40;6.10;2.35;-999.00;-999.00;70.00;0.00;0.70;9.80;-999.00;-999.00
NANJ;14/1/2007;-2.30;5.80;1.75;-999.00;-999.00;70.00;0.30;0.70;7.80;-999.00;-999.00
NANJ;15/1/2007;2.60;4.10;3.35;-999.00;-999.00;70.00;3.30;0.70;2.80;-999.00;-999.00
NANJ;16/1/2007;3.50;5.60;4.55;-999.00;-999.00;70.00;0.60;0.70;3.60;-999.00;-999.00
NANJ;17/1/2007;1.70;6.00;3.85;-999.00;-999.00;70.00;0.00;0.70;10.80;-999.00;-999.00
NANJ;18/1/2007;-0.70;8.90;4.10;-999.00;-999.00;70.00;0.00;0.70;12.20;-999.00;-999.00
NANJ;19/1/2007;0.60;7.90;4.25;-999.00;-999.00;70.00;0.00;0.70;8.60;-999.00;-999.00
NANJ;20/1/2007;0.00;7.40;3.70;-999.00;-999.00;70.00;0.00;0.70;7.00;-999.00;-999.00
NANJ;21/1/2007;5.10;11.90;8.50;-999.00;-999.00;70.00;0.00;0.70;10.70;-999.00;-999.00
NANJ;22/1/2007;2.10;7.30;4.70;-999.00;-999.00;70.00;0.00;0.70;6.90;-999.00;-999.00
NANJ;23/1/2007;3.00;5.30;4.15;-999.00;-999.00;70.00;0.20;0.70;5.00;-999.00;-999.00
NANJ;24/1/2007;-1.20;8.60;3.70;-999.00;-999.00;70.00;0.00;0.70;12.30;-999.00;-999.00
NANJ;25/1/2007;-1.50;8.70;3.60;-999.00;-999.00;70.00;0.00;0.70;7.30;-999.00;-999.00
