wscode;weatherdate;tmin;tmax;tmoy;rhmin;rhmax;rhmoy;rainfall;windtot;radiation;sunshine;eto
ONA;1/1/2009;9.97;23.55;16.76;-999.00;-999.00;70.00;0.00;2.49;12.20;-999.00;-999.00
ONA;2/1/2009;11.40;25.55;18.47;-999.00;-999.00;77.00;0.00;1.72;10.80;-999.00;-999.00
ONA;3/1/2009;10.66;25.65;18.15;-999.00;-999.00;76.00;0.00;1.66;11.40;-999.00;-999.00
ONA;4/1/2009;13.67;27.02;20.34;-999.00;-999.00;76.00;0.00;1.31;12.10;-999.00;-999.00
ONA;5/1/2009;13.14;27.88;20.51;-999.00;-999.00;79.00;0.00;0.87;13.00;-999.00;-999.00
ONA;6/1/2009;13.22;28.30;20.76;-999.00;-999.00;79.00;0.00;2.07;13.30;-999.00;-999.00
ONA;7/1/2009;9.16;26.76;17.96;-999.00;-999.00;85.00;0.50;2.34;6.00;-999.00;-999.00
ONA;8/1/2009;5.27;22.70;13.98;-999.00;-999.00;72.00;0.00;1.51;14.70;-999.00;-999.00
ONA;9/1/2009;7.57;23.60;15.58;-999.00;-999.00;65.00;0.00;1.11;14.80;-999.00;-999.00
ONA;10/1/2009;7.94;25.95;16.94;-999.00;-999.00;73.00;0.00;1.48;14.40;-999.00;-999.00
ONA;11/1/2009;9.46;26.56;18.01;-999.00;-999.00;80.00;0.00;1.85;13.80;-999.00;-999.00
ONA;12/1/2009;13.66;21.19;17.42;-999.00;-999.00;88.00;0.00;1.22;6.00;-999.00;-999.00
ONA;13/1/2009;11.56;26.17;18.86;-999.00;-999.00;87.00;7.36;2.92;7.00;-999.00;-999.00
ONA;14/1/2009;5.18;19.59;12.38;-999.00;-999.00;71.00;0.00;1.10;14.10;-999.00;-999.00
ONA;15/1/2009;3.62;15.58;9.60;-999.00;-999.00;65.00;0.00;1.19;7.30;-999.00;-999.00
ONA;16/1/2009;5.64;17.58;11.61;-999.00;-999.00;58.00;0.00;1.70;14.40;-999.00;-999.00
ONA;17/1/2009;2.80;19.46;11.13;-999.00;-999.00;65.00;0.00;1.56;15.50;-999.00;-999.00
