wscode;weatherdate;tmin;tmax;tmoy;rhmin;rhmax;rhmoy;rainfall;windtot;radiation;sunshine;eto
PLA;1/1/1998;19.20;31.90;25.55;25.65;97.40;61.52;0.00;1.69;24.76;-999.00;-999.00
PLA;2/1/1998;17.60;32.70;25.15;32.73;90.10;61.41;0.00;1.68;26.62;-999.00;-999.00
PLA;3/1/1998;16.70;32.60;24.65;36.89;97.50;67.19;0.10;1.57;25.48;-999.00;-999.00
PLA;4/1/1998;18.20;32.60;25.40;32.29;100.20;66.24;0.00;1.49;26.42;-999.00;-999.00
PLA;5/1/1998;19.60;33.30;26.45;30.79;92.40;61.59;0.00;1.88;28.93;-999.00;-999.00
PLA;6/1/1998;19.10;31.60;25.35;46.98;97.10;72.04;2.40;1.83;27.44;-999.00;-999.00
PLA;7/1/1998;18.40;29.90;24.15;43.58;100.20;71.89;0.50;1.18;14.11;-999.00;-999.00
PLA;8/1/1998;19.00;27.00;23.00;65.32;100.00;82.66;4.90;1.80;13.18;-999.00;-999.00
PLA;9/1/1998;18.60;25.90;22.25;64.71;100.00;82.35;3.20;2.59;16.84;-999.00;-999.00
PLA;10/1/1998;18.30;22.20;20.25;87.20;100.00;93.60;12.70;2.91;8.71;-999.00;-999.00
PLA;11/1/1998;17.70;28.60;23.15;52.51;100.00;76.25;0.00;1.66;23.84;-999.00;-999.00
PLA;12/1/1998;17.50;29.10;23.30;53.14;100.00;76.57;0.00;1.22;18.76;-999.00;-999.00
PLA;13/1/1998;18.60;29.60;24.10;49.00;100.00;74.50;3.00;1.82;15.42;-999.00;-999.00
PLA;14/1/1998;19.40;29.90;24.65;39.11;95.40;67.25;0.00;2.35;22.46;-999.00;-999.00
PLA;15/1/1998;20.00;29.10;24.55;48.86;96.90;72.88;3.20;2.03;15.98;-999.00;-999.00
PLA;16/1/1998;19.30;24.50;21.90;77.20;100.00;88.60;2.50;1.89;9.20;-999.00;-999.00
