wscode;weatherdate;tmin;tmax;tmoy;rhmin;rhmax;rhmoy;rainfall;windtot;radiation;sunshine;eto
PRRI;11/1/2012;24.90;29.00;27.00;-999.00;-999.00;75.10;0.00;5.40;17.70;8.10;-999.00
PRRI;12/1/2012;23.10;29.90;26.50;-999.00;-999.00;73.30;0.00;5.40;19.20;10.20;-999.00
PRRI;13/1/2012;22.70;30.00;26.40;-999.00;-999.00;73.10;0.00;4.90;18.60;10.00;-999.00
PRRI;14/1/2012;23.10;29.90;26.50;-999.00;-999.00;78.70;0.00;2.90;15.20;6.20;-999.00
PRRI;15/1/2012;23.20;30.50;26.90;-999.00;-999.00;79.80;0.50;1.30;15.10;6.90;-999.00
PRRI;16/1/2012;23.30;30.40;26.90;-999.00;-999.00;84.30;4.60;1.30;14.00;4.60;-999.00
PRRI;17/1/2012;23.30;29.60;26.50;-999.00;-999.00;77.90;0.00;2.40;12.90;5.10;-999.00
PRRI;18/1/2012;22.00;31.50;26.80;-999.00;-999.00;79.80;0.00;1.20;18.90;9.10;-999.00
PRRI;19/1/2012;23.50;32.40;28.00;-999.00;-999.00;80.50;0.00;0.70;19.20;10.00;-999.00
PRRI;20/1/2012;23.20;32.30;27.80;-999.00;-999.00;80.10;0.00;1.50;19.80;10.00;-999.00
PRRI;21/1/2012;23.60;31.00;27.30;-999.00;-999.00;77.50;0.00;3.20;19.90;10.40;-999.00
PRRI;22/1/2012;22.00;30.80;26.40;-999.00;-999.00;76.90;0.00;2.70;19.80;9.70;-999.00
PRRI;23/1/2012;22.60;31.00;26.80;-999.00;-999.00;74.80;0.00;3.30;18.30;7.30;-999.00
PRRI;24/1/2012;23.30;28.00;25.70;-999.00;-999.00;75.10;0.00;2.60;19.90;10.10;-999.00
PRRI;25/1/2012;21.60;31.10;26.40;-999.00;-999.00;76.40;0.00;2.70;17.40;10.40;-999.00
PRRI;26/1/2012;22.10;29.30;25.70;-999.00;-999.00;72.50;0.00;5.30;20.50;10.50;-999.00
PRRI;27/1/2012;22.50;29.80;26.20;-999.00;-999.00;74.50;0.00;4.10;18.30;8.50;-999.00
PRRI;28/1/2012;22.20;31.90;27.10;-999.00;-999.00;78.40;0.00;1.60;18.00;8.60;-999.00
PRRI;29/1/2012;23.90;32.20;28.10;-999.00;-999.00;81.10;1.00;1.40;19.00;7.80;-999.00
PRRI;30/1/2012;23.20;32.30;27.80;-999.00;-999.00;81.10;0.00;1.90;19.60;9.50;-999.00
PRRI;31/1/2012;23.40;32.80;28.10;-999.00;-999.00;82.00;4.30;3.20;17.00;6.90;-999.00
PRRI;1/2/2012;23.20;30.00;26.60;-999.00;-999.00;76.50;0.00;2.70;19.60;8.80;-999.00
PRRI;2/2/2012;22.50;31.20;26.90;-999.00;-999.00;77.30;0.00;2.50;17.90;9.30;-999.00
PRRI;3/2/2012;22.40;29.20;25.80;-999.00;-999.00;78.10;0.00;4.40;20.50;9.50;-999.00
PRRI;4/2/2012;21.60;28.30;25.00;-999.00;-999.00;78.70;0.00;3.60;13.70;5.20;-999.00
PRRI;5/2/2012;21.60;29.00;25.30;-999.00;-999.00;77.20;0.00;3.70;20.50;10.00;-999.00
PRRI;6/2/2012;21.70;30.90;26.30;-999.00;-999.00;75.90;0.00;1.80;21.40;10.70;-999.00
PRRI;7/2/2012;20.00;30.70;25.40;-999.00;-999.00;79.60;0.00;0.90;21.00;10.00;-999.00
PRRI;8/2/2012;21.80;31.30;26.60;-999.00;-999.00;78.70;0.00;2.70;20.70;10.10;-999.00
PRRI;9/2/2012;22.60;29.30;26.00;-999.00;-999.00;78.40;0.00;3.90;20.20;10.10;-999.00
PRRI;10/2/2012;21.40;29.70;25.60;-999.00;-999.00;77.10;0.00;3.70;21.50;9.70;-999.00
PRRI;11/2/2012;21.90;29.30;25.60;-999.00;-999.00;77.00;0.00;3.90;21.20;9.50;-999.00
PRRI;12/2/2012;22.70;26.70;24.70;-999.00;-999.00;77.10;0.30;3.20;8.90;0.00;-999.00
PRRI;13/2/2012;22.50;26.10;24.30;-999.00;-999.00;86.70;6.60;1.70;6.90;0.00;-999.00
PRRI;14/2/2012;23.20;28.80;26.00;-999.00;-999.00;82.90;0.00;2.20;12.10;0.20;-999.00
PRRI;15/2/2012;22.30;31.20;26.80;-999.00;-999.00;82.70;0.00;1.20;19.60;9.60;-999.00
PRRI;16/2/2012;22.70;30.30;26.50;-999.00;-999.00;84.30;0.00;1.10;14.10;3.50;-999.00
PRRI;17/2/2012;24.20;28.70;26.50;-999.00;-999.00;84.80;0.00;2.00;11.50;0.00;-999.00
PRRI;18/2/2012;23.70;30.90;27.30;-999.00;-999.00;80.80;0.00;2.80;12.30;1.90;-999.00
PRRI;19/2/2012;23.40;30.50;27.00;-999.00;-999.00;72.30;0.00;3.50;21.10;9.30;-999.00
PRRI;20/2/2012;21.60;25.40;23.50;-999.00;-999.00;82.70;0.30;2.00;5.80;0.00;-999.00
PRRI;21/2/2012;21.80;31.80;26.80;-999.00;-999.00;82.40;0.00;1.10;20.30;9.50;-999.00
PRRI;22/2/2012;23.20;33.20;28.20;-999.00;-999.00;81.30;0.00;1.00;22.20;10.00;-999.00
PRRI;23/2/2012;23.30;33.20;28.30;-999.00;-999.00;81.90;0.00;1.10;23.00;10.90;-999.00
PRRI;24/2/2012;20.50;32.50;26.50;-999.00;-999.00;81.10;0.00;1.00;23.60;11.00;-999.00
PRRI;25/2/2012;20.10;31.90;26.00;-999.00;-999.00;79.10;0.00;1.10;23.20;11.10;-999.00
PRRI;26/2/2012;21.30;32.80;27.10;-999.00;-999.00;80.00;0.00;1.40;22.40;9.60;-999.00
PRRI;27/2/2012;23.20;30.60;26.90;-999.00;-999.00;82.00;0.00;2.50;23.50;10.70;-999.00
PRRI;28/2/2012;22.30;30.80;26.60;-999.00;-999.00;82.40;0.00;6.20;17.40;10.20;-999.00
