wscode;weatherdate;tmin;tmax;tmoy;rhmin;rhmax;rhmoy;rainfall;windtot;radiation;sunshine;eto
SHIZU2;1/1/1998;20.00;30.00;25.00;-999.00;-999.00;60.00;0.00;1.00;10.00;-999.00;-999.00
SHIZU2;2/1/1998;20.00;30.00;25.00;-999.00;-999.00;60.00;0.00;1.00;10.00;-999.00;-999.00
SHIZU2;3/1/1998;20.00;30.00;25.00;-999.00;-999.00;60.00;0.00;1.00;10.00;-999.00;-999.00
SHIZU2;4/1/1998;20.00;30.00;25.00;-999.00;-999.00;60.00;0.00;1.00;10.00;-999.00;-999.00
SHIZU2;5/1/1998;20.00;30.00;25.00;-999.00;-999.00;60.00;0.00;1.00;10.00;-999.00;-999.00
SHIZU2;6/1/1998;20.00;30.00;25.00;-999.00;-999.00;60.00;15.00;1.00;10.00;-999.00;-999.00
SHIZU2;7/1/1998;20.00;30.00;25.00;-999.00;-999.00;60.00;0.00;1.00;10.00;-999.00;-999.00
SHIZU2;8/1/1998;20.00;30.00;25.00;-999.00;-999.00;60.00;0.00;1.00;10.00;-999.00;-999.00
SHIZU2;9/1/1998;20.00;30.00;25.00;-999.00;-999.00;60.00;0.00;1.00;10.00;-999.00;-999.00
SHIZU2;10/1/1998;20.00;30.00;25.00;-999.00;-999.00;60.00;0.00;1.00;10.00;-999.00;-999.00
SHIZU2;11/1/1998;20.00;30.00;25.00;-999.00;-999.00;60.00;0.00;1.00;10.00;-999.00;-999.00
SHIZU2;12/1/1998;20.00;30.00;25.00;-999.00;-999.00;60.00;15.00;1.00;10.00;-999.00;-999.00
SHIZU2;13/1/1998;20.00;30.00;25.00;-999.00;-999.00;60.00;0.00;1.00;10.00;-999.00;-999.00
SHIZU2;14/1/1998;20.00;30.00;25.00;-999.00;-999.00;60.00;0.00;1.00;10.00;-999.00;-999.00
SHIZU2;15/1/1998;20.00;30.00;25.00;-999.00;-999.00;60.00;0.00;1.00;10.00;-999.00;-999.00
SHIZU2;16/1/1998;20.00;30.00;25.00;-999.00;-999.00;60.00;0.00;1.00;10.00;-999.00;-999.00
SHIZU2;17/1/1998;20.00;30.00;25.00;-999.00;-999.00;60.00;0.00;1.00;10.00;-999.00;-999.00
SHIZU2;18/1/1998;20.00;30.00;25.00;-999.00;-999.00;60.00;15.00;1.00;10.00;-999.00;-999.00
SHIZU2;19/1/1998;20.00;30.00;25.00;-999.00;-999.00;60.00;0.00;1.00;10.00;-999.00;-999.00
SHIZU2;20/1/1998;20.00;30.00;25.00;-999.00;-999.00;60.00;0.00;1.00;10.00;-999.00;-999.00
SHIZU2;21/1/1998;20.00;30.00;25.00;-999.00;-999.00;60.00;0.00;1.00;10.00;-999.00;-999.00
SHIZU2;22/1/1998;20.00;30.00;25.00;-999.00;-999.00;60.00;0.00;1.00;10.00;-999.00;-999.00
SHIZU2;23/1/1998;20.00;30.00;25.00;-999.00;-999.00;60.00;0.00;1.00;10.00;-999.00;-999.00
SHIZU2;24/1/1998;20.00;30.00;25.00;-999.00;-999.00;60.00;15.00;1.00;10.00;-999.00;-999.00
SHIZU2;25/1/1998;20.00;30.00;25.00;-999.00;-999.00;60.00;0.00;1.00;10.00;-999.00;-999.00
SHIZU2;26/1/1998;20.00;30.00;25.00;-999.00;-999.00;60.00;0.00;1.00;10.00;-999.00;-999.00
SHIZU2;27/1/1998;20.00;30.00;25.00;-999.00;-999.00;60.00;0.00;1.00;10.00;-999.00;-999.00
SHIZU2;28/1/1998;20.00;30.00;25.00;-999.00;-999.00;60.00;0.00;1.00;10.00;-999.00;-999.00
SHIZU2;29/1/1998;20.00;30.00;25.00;-999.00;-999.00;60.00;0.00;1.00;10.00;-999.00;-999.00
