wscode;weatherdate;tmin;tmax;tmoy;rhmin;rhmax;rhmoy;rainfall;windtot;radiation;sunshine;eto
VUEBEL;1/4/2009;18.44;27.96;23.20;-999.00;-999.00;-999.00;2.00;-999.00;14.95;-999.00;3.17
VUEBEL;2/4/2009;19.33;27.23;23.28;-999.00;-999.00;-999.00;16.50;-999.00;15.87;-999.00;3.38
VUEBEL;3/4/2009;18.93;26.96;22.94;-999.00;-999.00;-999.00;2.50;-999.00;14.18;-999.00;3.03
VUEBEL;4/4/2009;19.33;25.96;22.64;-999.00;-999.00;-999.00;0.50;-999.00;9.80;-999.00;2.14
VUEBEL;5/4/2009;19.25;26.87;23.06;-999.00;-999.00;-999.00;12.50;-999.00;13.18;-999.00;2.83
VUEBEL;6/4/2009;20.31;24.78;22.54;-999.00;-999.00;-999.00;26.00;-999.00;4.94;-999.00;1.14
VUEBEL;7/4/2009;19.49;28.23;23.86;-999.00;-999.00;-999.00;0.00;-999.00;20.58;-999.00;4.38
VUEBEL;8/4/2009;19.66;28.05;23.85;-999.00;-999.00;-999.00;3.00;-999.00;16.13;-999.00;3.45
VUEBEL;9/4/2009;19.82;27.69;23.75;-999.00;-999.00;-999.00;58.00;-999.00;8.93;-999.00;1.95
VUEBEL;10/4/2009;20.47;25.42;22.94;-999.00;-999.00;-999.00;46.00;-999.00;11.69;-999.00;2.54
VUEBEL;11/4/2009;20.79;26.14;23.46;-999.00;-999.00;-999.00;6.00;-999.00;18.13;-999.00;3.84
VUEBEL;12/4/2009;16.98;27.23;22.10;-999.00;-999.00;-999.00;0.00;-999.00;22.75;-999.00;4.68
VUEBEL;13/4/2009;16.41;25.69;21.05;-999.00;-999.00;-999.00;0.50;-999.00;15.77;-999.00;3.26
VUEBEL;14/4/2009;18.93;26.23;22.58;-999.00;-999.00;-999.00;8.50;-999.00;13.84;-999.00;2.95
VUEBEL;15/4/2009;18.36;27.69;23.02;-999.00;-999.00;-999.00;0.00;-999.00;17.16;-999.00;3.61
VUEBEL;16/4/2009;17.47;27.41;22.44;-999.00;-999.00;-999.00;0.00;-999.00;19.96;-999.00;4.17
VUEBEL;17/4/2009;17.71;26.42;22.06;-999.00;-999.00;-999.00;0.00;-999.00;14.09;-999.00;2.97
VUEBEL;18/4/2009;18.03;26.05;22.04;-999.00;-999.00;-999.00;0.00;-999.00;16.16;-999.00;3.36
VUEBEL;19/4/2009;16.33;25.14;20.73;-999.00;-999.00;-999.00;0.00;-999.00;12.48;-999.00;2.58
VUEBEL;20/4/2009;16.00;26.96;21.48;-999.00;-999.00;-999.00;0.00;-999.00;18.79;-999.00;3.86
VUEBEL;21/4/2009;17.30;26.60;21.95;-999.00;-999.00;-999.00;0.50;-999.00;15.22;-999.00;3.17
VUEBEL;22/4/2009;16.41;26.60;21.50;-999.00;-999.00;-999.00;0.00;-999.00;17.25;-999.00;3.54
VUEBEL;23/4/2009;16.09;25.69;20.89;-999.00;-999.00;-999.00;0.00;-999.00;17.27;-999.00;3.55
VUEBEL;24/4/2009;16.25;23.78;20.01;-999.00;-999.00;-999.00;0.00;-999.00;12.32;-999.00;2.52
VUEBEL;25/4/2009;14.71;24.42;19.56;-999.00;-999.00;-999.00;0.00;-999.00;18.45;-999.00;3.69
VUEBEL;26/4/2009;15.11;25.23;20.17;-999.00;-999.00;-999.00;0.00;-999.00;17.36;-999.00;3.55
VUEBEL;27/4/2009;16.98;26.69;21.83;-999.00;-999.00;-999.00;0.00;-999.00;17.20;-999.00;3.58
VUEBEL;28/4/2009;17.22;25.78;21.50;-999.00;-999.00;-999.00;0.00;-999.00;14.52;-999.00;3.03
VUEBEL;29/4/2009;17.47;26.32;21.89;-999.00;-999.00;-999.00;0.00;-999.00;11.99;-999.00;2.52
VUEBEL;30/4/2009;17.55;26.23;21.89;-999.00;-999.00;-999.00;0.00;-999.00;15.08;-999.00;3.14
