wscode;weatherdate;tmin;tmax;tmoy;rhmin;rhmax;rhmoy;rainfall;windtot;radiation;sunshine;eto
YP_IRR;1/1/2011;22.80;26.20;24.50;-999.00;-999.00;86.00;0.40;2.00;8.30;-999.00;2.30
YP_IRR;2/1/2011;22.80;28.30;25.55;-999.00;-999.00;84.00;0.00;2.70;14.30;-999.00;5.40
YP_IRR;3/1/2011;22.70;27.70;25.20;-999.00;-999.00;80.00;0.00;2.50;16.90;-999.00;5.20
YP_IRR;4/1/2011;20.80;28.00;24.40;-999.00;-999.00;78.00;0.00;2.20;18.30;-999.00;6.20
YP_IRR;5/1/2011;20.40;27.30;23.85;-999.00;-999.00;84.00;0.05;1.80;13.00;-999.00;3.30
YP_IRR;6/1/2011;23.20;27.60;25.40;-999.00;-999.00;90.00;0.00;1.30;8.10;-999.00;2.60
YP_IRR;7/1/2011;23.50;29.00;26.25;-999.00;-999.00;83.00;0.00;2.10;17.50;-999.00;6.00
YP_IRR;8/1/2011;22.40;28.10;25.25;-999.00;-999.00;80.00;0.60;2.20;12.20;-999.00;4.40
YP_IRR;9/1/2011;23.20;26.70;24.95;-999.00;-999.00;95.00;16.90;0.90;7.10;-999.00;0.90
YP_IRR;10/1/2011;23.50;27.50;25.50;-999.00;-999.00;94.00;9.50;1.70;5.50;-999.00;1.50
YP_IRR;11/1/2011;23.50;26.70;25.10;-999.00;-999.00;86.00;1.00;1.30;6.80;-999.00;2.00
YP_IRR;12/1/2011;22.30;28.30;25.30;-999.00;-999.00;88.00;0.10;1.20;9.10;-999.00;2.10
YP_IRR;13/1/2011;22.90;28.50;25.70;-999.00;-999.00;86.00;0.00;1.70;13.90;-999.00;4.10
YP_IRR;14/1/2011;23.00;29.70;26.35;-999.00;-999.00;92.00;0.00;0.80;12.80;-999.00;2.80
YP_IRR;15/1/2011;21.00;31.40;26.20;-999.00;-999.00;94.00;2.60;1.20;18.00;-999.00;4.40
YP_IRR;16/1/2011;23.90;25.80;24.85;-999.00;-999.00;84.00;0.00;2.80;7.10;-999.00;3.60
YP_IRR;17/1/2011;22.50;25.40;23.95;-999.00;-999.00;81.00;0.00;2.70;9.20;-999.00;4.40
YP_IRR;18/1/2011;21.70;26.30;24.00;-999.00;-999.00;85.00;0.30;1.60;8.60;-999.00;3.00
