wscode;weatherdate;tmin;tmax;tmoy;rhmin;rhmax;rhmoy;rainfall;windtot;radiation;sunshine;eto
col001;15/12/1989;19.60;31.20;25.40;42.00;81.00;61.50;0.00;1.35;-999.00;4.40;-999.00
col001;16/12/1989;19.20;31.80;25.50;50.00;72.00;61.00;0.00;1.46;-999.00;8.90;-999.00
col001;17/12/1989;22.40;30.80;26.60;45.00;90.00;67.50;0.00;1.85;-999.00;8.70;-999.00
col001;18/12/1989;19.40;32.60;26.00;38.00;70.00;54.00;0.00;1.72;-999.00;10.80;-999.00
col001;19/12/1989;18.60;32.00;25.30;41.00;79.00;60.00;0.00;1.48;-999.00;11.10;-999.00
col001;20/12/1989;20.40;31.20;25.80;49.00;84.00;66.50;0.00;1.29;-999.00;8.30;-999.00
col001;21/12/1989;21.60;30.00;25.80;43.00;76.00;59.50;0.00;1.37;-999.00;9.00;-999.00
col001;22/12/1989;19.00;31.60;25.30;40.00;74.00;57.00;0.00;1.55;-999.00;10.30;-999.00
col001;23/12/1989;19.20;32.10;25.65;41.00;80.00;60.50;0.00;1.37;-999.00;8.30;-999.00
col001;24/12/1989;19.40;32.00;25.70;46.00;95.00;70.50;0.00;1.27;-999.00;9.50;-999.00
col001;25/12/1989;20.00;32.40;26.20;45.00;93.00;69.00;0.00;1.38;-999.00;9.00;-999.00
col001;26/12/1989;22.80;28.40;25.60;69.00;86.00;77.50;0.00;1.19;-999.00;0.60;-999.00
col001;27/12/1989;21.60;30.60;26.10;48.00;82.00;65.00;0.00;0.97;-999.00;1.40;-999.00
col001;28/12/1989;21.00;31.60;26.30;41.00;87.00;64.00;0.00;1.38;-999.00;6.50;-999.00
col001;29/12/1989;19.40;30.40;24.90;52.00;77.00;64.50;0.00;1.23;-999.00;6.00;-999.00
col001;30/12/1989;19.20;31.60;25.40;46.00;80.00;63.00;0.00;1.68;-999.00;8.00;-999.00
col001;31/12/1989;22.80;33.40;28.10;34.00;78.00;56.00;0.00;1.41;-999.00;10.40;-999.00
col001;1/1/1990;20.40;33.40;26.90;35.00;82.00;58.50;0.00;1.15;-999.00;8.60;-999.00
col001;2/1/1990;23.40;33.00;28.20;44.00;80.00;62.00;0.00;1.37;-999.00;7.00;-999.00
col001;3/1/1990;20.20;32.80;26.50;43.00;75.00;59.00;0.00;1.50;-999.00;7.40;-999.00
col001;4/1/1990;19.40;32.80;26.10;44.00;80.00;62.00;0.00;1.44;-999.00;9.70;-999.00
col001;5/1/1990;20.60;31.00;25.80;62.00;80.00;71.00;0.00;1.78;-999.00;7.70;-999.00
col001;6/1/1990;21.00;31.60;26.30;52.00;73.00;62.50;0.00;1.52;-999.00;8.70;-999.00
col001;7/1/1990;21.00;30.60;25.80;49.00;89.00;69.00;0.00;1.60;-999.00;7.70;-999.00
col001;8/1/1990;19.40;31.60;25.50;43.00;81.00;62.00;0.00;1.71;-999.00;8.90;-999.00
col001;9/1/1990;20.60;31.80;26.20;41.00;82.00;61.50;0.00;1.57;-999.00;9.10;-999.00
col001;10/1/1990;19.60;31.20;25.40;57.00;82.00;69.50;0.00;1.66;-999.00;9.90;-999.00
col001;11/1/1990;19.80;31.60;25.70;45.00;83.00;64.00;0.00;1.55;-999.00;8.20;-999.00
col001;12/1/1990;19.40;33.40;26.40;39.00;80.00;59.50;0.00;1.63;-999.00;10.20;-999.00
col001;13/1/1990;20.50;33.20;26.85;44.00;76.00;60.00;0.20;1.93;-999.00;10.30;-999.00
col001;14/1/1990;21.20;30.40;25.80;65.00;92.00;78.50;0.00;0.97;-999.00;2.60;-999.00
col001;15/1/1990;22.40;31.80;27.10;48.00;92.00;70.00;0.00;1.35;-999.00;5.80;-999.00
col001;16/1/1990;23.40;32.40;27.90;47.00;82.00;64.50;0.00;0.99;-999.00;3.60;-999.00
col001;17/1/1990;21.20;33.00;27.10;47.00;79.00;63.00;0.00;1.65;-999.00;10.80;-999.00
col001;18/1/1990;20.00;32.80;26.40;45.00;83.00;64.00;0.00;1.81;-999.00;9.10;-999.00
col001;19/1/1990;21.00;33.20;27.10;43.00;79.00;61.00;0.00;1.59;-999.00;8.90;-999.00
col001;20/1/1990;23.20;31.80;27.50;49.00;78.00;63.50;0.00;1.59;-999.00;2.70;-999.00
col001;21/1/1990;21.60;26.40;24.00;90.00;92.00;91.00;4.50;1.08;-999.00;1.50;-999.00
col001;22/1/1990;22.00;28.60;25.30;84.00;93.00;88.50;18.00;1.03;-999.00;2.00;-999.00
col001;23/1/1990;21.60;29.80;25.70;61.00;93.00;77.00;0.00;0.90;-999.00;2.40;-999.00
col001;24/1/1990;21.20;30.00;25.60;59.00;93.00;76.00;0.00;1.37;-999.00;6.10;-999.00
col001;25/1/1990;22.00;30.10;26.05;55.00;89.00;72.00;0.20;1.34;-999.00;3.40;-999.00
col001;26/1/1990;22.40;23.70;23.05;92.00;93.00;92.50;5.80;1.12;-999.00;3.00;-999.00
col001;27/1/1990;20.20;30.40;25.30;56.00;88.00;72.00;0.50;1.30;-999.00;2.70;-999.00
col001;28/1/1990;21.80;31.80;26.80;56.00;92.00;74.00;0.00;1.18;-999.00;4.30;-999.00
col001;29/1/1990;23.00;31.00;27.00;59.00;82.00;70.50;0.00;1.26;-999.00;3.80;-999.00
col001;30/1/1990;22.20;31.40;26.80;52.00;86.00;69.00;0.00;1.38;-999.00;3.20;-999.00
col001;31/1/1990;20.40;32.20;26.30;52.00;81.00;66.50;0.00;1.68;-999.00;6.10;-999.00
col001;1/2/1990;22.00;30.80;26.40;63.00;84.00;73.50;0.80;0.98;-999.00;3.40;-999.00
col001;2/2/1990;22.80;32.20;27.50;52.00;83.00;67.50;16.00;1.93;-999.00;2.30;-999.00
col001;3/2/1990;21.60;25.60;23.60;89.00;95.00;92.00;1.60;0.99;-999.00;0.10;-999.00
col001;4/2/1990;22.40;26.00;24.20;80.00;97.00;88.50;8.60;1.14;-999.00;0.10;-999.00
col001;5/2/1990;22.20;27.70;24.95;76.00;96.00;86.00;0.00;0.98;-999.00;1.20;-999.00
col001;6/2/1990;22.80;31.20;27.00;62.00;90.00;76.00;27.90;1.25;-999.00;3.80;-999.00
col001;7/2/1990;21.90;24.00;22.95;97.00;97.00;97.00;44.60;0.89;-999.00;3.00;-999.00
col001;8/2/1990;22.00;27.60;24.80;78.00;97.00;87.50;5.70;1.43;-999.00;1.50;-999.00
col001;9/2/1990;22.20;31.20;26.70;64.00;90.00;77.00;0.00;1.21;-999.00;5.50;-999.00
col001;10/2/1990;23.60;31.60;27.60;53.00;89.00;71.00;0.00;0.93;-999.00;1.80;-999.00
col001;11/2/1990;23.60;32.00;27.80;56.00;84.00;70.00;0.00;1.25;-999.00;4.30;-999.00
col001;12/2/1990;22.80;30.80;26.80;63.00;87.00;75.00;0.00;0.92;-999.00;2.10;-999.00
col001;13/2/1990;23.00;30.00;26.50;64.00;86.00;75.00;0.00;0.85;-999.00;1.20;-999.00
col001;14/2/1990;23.20;30.60;26.90;58.00;83.00;70.50;0.00;0.81;-999.00;0.60;-999.00
col001;15/2/1990;23.40;29.70;26.55;55.00;92.00;73.50;0.00;1.09;-999.00;0.80;-999.00
col001;16/2/1990;23.00;30.00;26.50;57.00;87.00;72.00;0.00;1.27;-999.00;2.90;-999.00
col001;17/2/1990;20.80;30.00;25.40;50.00;87.00;68.50;0.00;1.27;-999.00;6.00;-999.00
col001;18/2/1990;20.20;31.30;25.75;49.00;79.00;64.00;0.00;1.33;-999.00;4.50;-999.00
col001;19/2/1990;22.40;30.40;26.40;65.00;80.00;72.50;0.00;1.29;-999.00;3.40;-999.00
col001;20/2/1990;23.20;31.80;27.50;49.00;81.00;65.00;0.00;1.43;-999.00;6.60;-999.00
col001;21/2/1990;20.40;33.80;27.10;42.00;87.00;64.50;0.00;1.44;-999.00;9.80;-999.00
col001;22/2/1990;21.20;32.20;26.70;57.00;84.00;70.50;0.00;1.23;-999.00;5.40;-999.00
col001;23/2/1990;22.60;31.80;27.20;53.00;83.00;68.00;0.00;1.27;-999.00;2.30;-999.00
col001;24/2/1990;21.80;31.40;26.60;53.00;86.00;69.50;0.00;1.52;-999.00;3.20;-999.00
col001;25/2/1990;20.00;31.40;25.70;44.00;82.00;63.00;0.00;1.49;-999.00;6.40;-999.00
col001;26/2/1990;21.20;31.60;26.40;42.00;75.00;58.50;0.00;1.48;-999.00;4.10;-999.00
col001;27/2/1990;20.00;32.00;26.00;46.00;76.00;61.00;0.00;1.66;-999.00;5.60;-999.00
col001;28/2/1990;20.80;33.40;27.10;45.00;78.00;61.50;0.00;1.22;-999.00;5.20;-999.00
col001;1/3/1990;21.00;33.80;27.40;40.00;87.00;63.50;0.20;1.55;-999.00;7.60;-999.00
col001;2/3/1990;22.60;32.00;27.30;60.00;87.00;73.50;0.00;1.20;-999.00;4.20;-999.00
col001;3/3/1990;20.80;30.40;25.60;41.00;86.00;63.50;0.00;1.59;-999.00;6.50;-999.00
col001;4/3/1990;20.60;31.40;26.00;53.00;98.00;75.50;43.80;1.75;-999.00;3.80;-999.00
col001;5/3/1990;20.20;31.40;25.80;68.00;98.00;83.00;21.70;1.21;-999.00;5.50;-999.00
col001;6/3/1990;22.00;30.40;26.20;62.00;95.00;78.50;3.50;1.23;-999.00;3.00;-999.00
col001;7/3/1990;22.80;31.80;27.30;58.00;87.00;72.50;0.00;0.94;-999.00;4.00;-999.00
col001;8/3/1990;23.20;31.80;27.50;62.00;81.00;71.50;3.40;0.85;-999.00;5.00;-999.00
col001;9/3/1990;22.80;30.80;26.80;60.00;95.00;77.50;36.30;1.55;-999.00;3.20;-999.00
col001;10/3/1990;21.40;26.20;23.80;86.00;98.00;92.00;10.30;1.04;-999.00;0.60;-999.00
col001;11/3/1990;21.00;26.80;23.90;71.00;93.00;82.00;6.40;0.83;-999.00;0.10;-999.00
col001;12/3/1990;21.60;27.00;24.30;78.00;97.00;87.50;0.90;0.87;-999.00;2.00;-999.00
col001;13/3/1990;22.20;31.60;26.90;60.00;90.00;75.00;0.00;1.00;-999.00;4.50;-999.00
col001;14/3/1990;23.60;28.00;25.80;77.00;95.00;86.00;4.00;1.04;-999.00;3.00;-999.00
col001;15/3/1990;22.40;29.00;25.70;68.00;89.00;78.50;10.90;1.19;-999.00;0.70;-999.00
col001;16/3/1990;21.20;31.60;26.40;58.00;93.00;75.50;0.00;1.18;-999.00;6.40;-999.00
col001;17/3/1990;22.40;29.60;26.00;70.00;83.00;76.50;1.30;1.01;-999.00;1.20;-999.00
col001;18/3/1990;22.80;25.80;24.30;83.00;91.00;87.00;11.70;0.65;-999.00;0.50;-999.00
col001;19/3/1990;20.80;30.20;25.50;57.00;92.00;74.50;0.00;1.06;-999.00;5.70;-999.00
col001;20/3/1990;23.00;31.80;27.40;54.00;89.00;71.50;0.00;0.96;-999.00;6.00;-999.00
col001;21/3/1990;22.60;30.40;26.50;72.00;90.00;81.00;0.00;0.64;-999.00;0.80;-999.00
col001;22/3/1990;21.00;31.80;26.40;55.00;90.00;72.50;0.00;0.77;-999.00;2.40;-999.00
col001;23/3/1990;23.00;31.20;27.10;64.00;90.00;77.00;12.00;0.97;-999.00;1.00;-999.00
col001;24/3/1990;22.40;30.40;26.40;68.00;97.00;82.50;0.00;0.86;-999.00;2.20;-999.00
col001;25/3/1990;22.60;27.00;24.80;85.00;95.00;90.00;1.00;1.07;-999.00;3.00;-999.00
col001;26/3/1990;22.40;28.80;25.60;65.00;97.00;81.00;16.80;1.07;-999.00;2.80;-999.00
col001;27/3/1990;21.20;30.40;25.80;58.00;83.00;70.50;0.00;1.04;-999.00;0.60;-999.00
col001;28/3/1990;20.80;31.80;26.30;61.00;78.00;69.50;0.00;1.11;-999.00;4.50;-999.00
col001;29/3/1990;23.80;31.60;27.70;53.00;84.00;68.50;0.00;0.91;-999.00;1.10;-999.00
col001;30/3/1990;21.00;33.20;27.10;50.00;90.00;70.00;0.00;1.20;-999.00;8.80;-999.00
col001;31/3/1990;24.20;31.80;28.00;56.00;85.00;70.50;13.10;1.68;-999.00;2.50;-999.00
col001;1/4/1990;21.20;31.00;26.10;64.00;97.00;80.50;0.00;0.78;-999.00;5.80;-999.00
col001;2/4/1990;22.80;31.00;26.90;70.00;97.00;83.50;13.20;1.31;-999.00;4.40;-999.00
col001;3/4/1990;21.60;31.60;26.60;64.00;95.00;79.50;0.00;0.68;-999.00;7.00;-999.00
col001;4/4/1990;21.60;28.80;25.20;78.00;86.00;82.00;0.50;0.85;-999.00;0.30;-999.00
col001;5/4/1990;22.00;29.60;25.80;79.00;90.00;84.50;25.60;1.49;-999.00;2.30;-999.00
col001;6/4/1990;20.40;23.60;22.00;98.00;98.00;98.00;27.80;1.12;-999.00;3.00;-999.00
col001;7/4/1990;20.10;32.30;26.20;51.00;84.00;67.50;1.00;1.09;-999.00;9.10;-999.00
col001;8/4/1990;22.40;32.00;27.20;61.00;85.00;73.00;0.00;1.15;-999.00;7.10;-999.00
col001;9/4/1990;21.80;33.60;27.70;54.00;79.00;66.50;0.00;1.04;-999.00;10.20;-999.00
col001;10/4/1990;24.00;31.60;27.80;68.00;89.00;78.50;1.50;0.79;-999.00;3.30;-999.00
col001;11/4/1990;23.20;31.60;27.40;61.00;87.00;74.00;0.10;0.86;-999.00;2.50;-999.00
col001;12/4/1990;23.60;31.20;27.40;64.00;97.00;80.50;2.10;0.90;-999.00;4.70;-999.00
col001;13/4/1990;23.60;33.00;28.30;54.00;94.00;74.00;40.30;1.59;-999.00;4.20;-999.00
col001;14/4/1990;21.80;27.80;24.80;84.00;97.00;90.50;4.80;0.70;-999.00;0.50;-999.00
col001;15/4/1990;21.20;31.60;26.40;59.00;92.00;75.50;17.60;1.00;-999.00;8.20;-999.00
col001;16/4/1990;22.20;32.20;27.20;62.00;97.00;79.50;7.20;1.04;-999.00;5.60;-999.00
col001;17/4/1990;23.80;27.40;25.60;89.00;92.00;90.50;0.80;0.59;-999.00;0.20;-999.00
col001;18/4/1990;22.10;31.70;26.90;73.00;86.00;79.50;10.60;0.91;-999.00;4.30;-999.00
col001;19/4/1990;22.10;31.20;26.65;65.00;98.00;81.50;0.00;0.74;-999.00;3.40;-999.00
col001;20/4/1990;21.80;25.20;23.50;91.00;93.00;92.00;0.40;1.34;-999.00;0.30;-999.00
col001;21/4/1990;21.20;29.00;25.10;79.00;95.00;87.00;33.10;1.07;-999.00;2.40;-999.00
col001;22/4/1990;22.00;28.20;25.10;78.00;99.00;88.50;0.00;0.91;-999.00;4.10;-999.00
col001;23/4/1990;22.40;28.80;25.60;77.00;99.00;88.00;13.60;0.94;-999.00;5.20;-999.00
col001;24/4/1990;23.00;30.00;26.50;72.00;99.00;85.50;2.30;0.76;-999.00;1.30;-999.00
col001;25/4/1990;23.00;28.30;25.65;80.00;99.00;89.50;32.50;1.46;-999.00;1.40;-999.00
col001;26/4/1990;20.20;28.00;24.10;73.00;99.00;86.00;2.50;0.90;-999.00;1.50;-999.00
col001;27/4/1990;21.40;30.70;26.05;64.00;93.00;78.50;0.00;0.90;-999.00;6.00;-999.00
col001;28/4/1990;23.20;32.20;27.70;67.00;100.00;83.50;15.50;1.15;-999.00;7.20;-999.00
col001;29/4/1990;22.50;32.00;27.25;56.00;98.00;77.00;32.90;1.21;-999.00;7.50;-999.00
col001;30/4/1990;21.20;26.00;23.60;93.00;96.00;94.50;31.00;0.75;-999.00;0.10;-999.00
col001;1/5/1990;21.20;30.70;25.95;66.00;100.00;83.00;0.00;0.71;-999.00;7.50;-999.00
col001;2/5/1990;22.00;30.60;26.30;68.00;94.00;81.00;25.80;1.82;-999.00;3.90;-999.00
col001;3/5/1990;21.40;29.40;25.40;76.00;96.00;86.00;0.00;0.87;-999.00;4.80;-999.00
col001;4/5/1990;22.80;30.40;26.60;73.00;92.00;82.50;0.10;1.50;-999.00;7.40;-999.00
col001;5/5/1990;22.60;31.60;27.10;65.00;95.00;80.00;21.70;1.27;-999.00;8.80;-999.00
col001;6/5/1990;23.00;31.20;27.10;65.00;95.00;80.00;0.00;0.71;-999.00;4.70;-999.00
col001;7/5/1990;22.80;31.60;27.20;66.00;97.00;81.50;17.70;1.22;-999.00;5.00;-999.00
col001;8/5/1990;22.20;27.20;24.70;78.00;100.00;89.00;19.50;0.86;-999.00;5.00;-999.00
col001;9/5/1990;21.30;31.80;26.55;55.00;94.00;74.50;0.00;0.79;-999.00;5.00;-999.00
col001;10/5/1990;22.00;31.00;26.50;66.00;85.00;75.50;0.40;1.53;-999.00;5.00;-999.00
col001;11/5/1990;22.40;30.20;26.30;56.00;93.00;74.50;36.00;1.35;-999.00;5.00;-999.00
col001;12/5/1990;21.20;30.60;25.90;73.00;93.00;83.00;25.40;0.84;-999.00;5.30;-999.00
col001;13/5/1990;22.00;29.60;25.80;63.00;92.00;77.50;12.80;1.14;-999.00;5.00;-999.00
col001;14/5/1990;22.40;29.80;26.10;62.00;100.00;81.00;0.00;1.08;-999.00;5.00;-999.00
col001;15/5/1990;23.00;30.40;26.70;66.00;93.00;79.50;15.90;0.83;-999.00;5.00;-999.00
col001;16/5/1990;22.30;30.20;26.25;68.00;98.00;83.00;0.10;0.90;-999.00;5.00;-999.00
col001;17/5/1990;23.30;30.00;26.65;59.00;100.00;79.50;1.30;1.16;-999.00;5.00;-999.00
